pm2.5,pm10,no,no2,so2,co,nox,ozone,ws,wd,timestamp,nh3,benzene,eth_benzene,toluene,mp_xylene
80.7,201.61,16.92,46.09,26.13,33.18,37.65,20.04,0.64,126.9,2016-10-24 08:15:00,3.15,10.61,,93.81,21.26
82.22,204.38,12.99,45.52,31.62,33.37,34.21,15.99,0.58,208.09,2016-10-24 08:30:00,2.58,10.45,,93.33,20.66
94.36,226.54,6.67,42.28,34.44,34.28,27.44,30.56,0.52,332.9,2016-10-24 08:45:00,2.64,10.43,,94.5,21.02
94.36,226.54,3.52,40.41,33.35,34.85,23.94,40.07,0.71,22.89,2016-10-24 09:00:00,2.44,10.44,,98.35,21.28
94.36,226.54,5.17,38.09,42.73,35.73,24.05,44.8,0.64,21.37,2016-10-24 09:15:00,2.14,10.23,,99.14,21.77
92.24,220.68,5.62,43.74,61.65,35.47,27.36,44.58,0.76,27.92,2016-10-24 09:30:00,2.85,9.87,,96.08,21.58
75.27,173.77,2.65,41.42,88.33,36.05,23.76,44.73,0.81,9.2,2016-10-24 09:45:00,2.13,9.68,,96.39,21.82
75.27,173.77,2.88,37.44,77.75,36.19,21.87,48.17,1.02,19.22,2016-10-24 10:00:00,2.47,9.5,,95.38,21.81
75.27,173.77,5.24,38.52,107.23,37.03,24.33,51.87,1.01,34.96,2016-10-24 10:15:00,2.35,9.34,,95.78,22.3
51.26,166.83,1.94,34.78,126.14,36.26,19.73,67.43,1.1,44.14,2016-10-24 10:30:00,2.24,9.11,,95.59,21.34
51.26,111.28,1.84,32.43,137.42,36.79,18.42,78.37,0.96,339.73,2016-10-24 10:45:00,2.54,9.04,,95.61,21.61
51.26,111.28,5.66,47.2,,38.24,29.2,74.97,0.66,344.61,2016-10-24 11:00:00,2.56,8.74,,95.28,22.75
51.26,111.28,3.36,34.45,,38.59,20.66,88.25,0.55,357.76,2016-10-24 11:15:00,1.73,8.5,,95.03,22.96
52.15,95.61,3.94,34.24,,37.2,21.03,90.98,0.71,32.0,2016-10-24 11:30:00,2.78,8.66,,91.31,22.3
59.28,95.61,2.31,34.27,,37.26,19.75,109.47,0.49,334.32,2016-10-24 11:45:00,2.47,8.5,,90.99,22.32
59.28,95.61,1.51,34.12,31.4,36.77,19.04,112.85,1.0,300.01,2016-10-24 12:00:00,2.37,8.48,,90.06,21.97
59.28,95.61,2.06,31.18,163.37,36.3,17.67,108.53,0.45,347.49,2016-10-24 12:15:00,2.36,8.52,,89.86,21.23
59.21,95.61,4.93,38.74,,37.18,24.11,87.35,1.27,54.94,2016-10-24 12:30:00,2.86,8.23,,90.26,22.12
58.66,95.62,4.44,34.31,,37.69,21.48,86.29,0.98,57.81,2016-10-24 12:45:00,2.21,8.27,,90.45,22.37
58.66,95.62,4.06,28.95,,37.99,18.39,106.67,0.67,342.59,2016-10-24 13:00:00,1.63,8.97,,90.52,22.63
58.66,95.62,2.46,20.21,105.87,35.69,12.52,120.47,0.7,344.03,2016-10-24 13:15:00,1.24,9.59,,84.58,21.4
56.52,92.38,1.75,23.7,78.84,33.43,13.68,121.17,0.42,324.03,2016-10-24 13:30:00,2.25,9.41,,82.25,19.76
39.43,66.5,0.82,22.79,77.33,30.48,12.57,106.51,0.48,340.05,2016-10-24 13:45:00,1.56,8.15,,72.17,18.6
39.43,66.5,0.21,25.81,101.29,28.8,13.33,102.97,0.81,312.72,2016-10-24 14:00:00,1.79,7.59,,70.43,17.26
39.43,66.5,1.74,22.21,66.62,27.78,13.0,110.61,0.94,289.91,2016-10-24 14:15:00,1.61,7.0,,65.7,17.01
38.82,64.52,0.41,20.78,51.6,26.94,11.1,105.88,1.1,238.81,2016-10-24 14:30:00,1.36,6.62,,65.21,16.16
33.96,48.67,1.47,24.1,45.27,26.55,13.76,104.34,0.9,322.07,2016-10-24 14:45:00,1.54,6.11,,64.03,15.89
33.96,48.67,1.96,25.34,28.51,26.94,14.81,102.01,0.89,331.9,2016-10-24 15:00:00,1.42,5.62,,63.07,16.36
33.96,48.67,0.59,31.12,,26.89,16.67,94.83,0.72,311.65,2016-10-24 15:15:00,1.56,5.25,,62.65,16.32
34.52,52.22,0.52,22.75,136.86,24.66,12.18,103.49,1.07,286.87,2016-10-24 15:30:00,1.84,4.78,,58.82,14.9
38.99,80.59,1.25,23.84,65.49,25.01,12.78,108.25,1.1,271.02,2016-10-24 15:45:00,1.54,4.63,,57.87,15.34
38.99,80.59,0.2,25.2,60.2,25.06,12.95,104.85,0.98,303.63,2016-10-24 16:00:00,1.1,4.4,,58.04,15.44
38.99,80.59,1.74,31.63,79.09,23.67,17.92,107.39,1.16,280.3,2016-10-24 16:15:00,2.11,3.99,,56.3,14.4
39.03,80.59,1.23,22.19,59.83,23.71,12.45,101.9,1.49,241.98,2016-10-24 16:30:00,1.71,3.66,,54.98,14.66
39.33,104.42,0.74,23.08,38.29,22.58,12.45,92.95,1.34,257.13,2016-10-24 16:45:00,1.04,3.52,,53.63,13.84
39.33,104.42,,21.51,31.51,22.29,10.91,94.19,1.25,249.98,2016-10-24 17:00:00,1.6,3.3,,51.8,13.85
39.33,104.42,0.36,22.34,27.04,21.87,11.7,95.42,1.15,252.91,2016-10-24 17:15:00,1.45,3.13,,50.88,13.61
40.12,104.12,0.23,23.47,23.52,21.61,12.39,91.69,1.22,247.58,2016-10-24 17:30:00,1.7,3.07,,51.41,13.21
46.48,101.72,,24.55,19.9,22.01,12.29,86.21,1.3,242.68,2016-10-24 18:00:00,1.3,3.04,,52.18,13.44
46.48,101.72,0.41,23.57,21.56,21.99,12.63,79.26,1.07,247.09,2016-10-24 18:15:00,1.14,2.98,,50.79,13.74
46.21,93.48,,23.37,20.84,20.16,11.56,82.28,0.96,246.54,2016-10-24 18:30:00,0.94,2.96,,46.52,12.91
37.87,80.43,,24.27,16.96,19.39,11.87,79.96,1.09,244.67,2016-10-24 18:45:00,1.05,2.98,,44.47,12.63
,,0.28,23.07,15.47,18.34,12.17,72.97,0.88,263.36,2016-10-24 19:00:00,1.61,3.07,,43.08,12.0
,,,24.95,16.33,18.36,12.69,70.32,0.9,262.46,2016-10-24 19:15:00,1.46,3.16,,43.23,12.08
,,,26.48,16.76,19.25,13.75,63.18,0.81,245.07,2016-10-24 19:30:00,1.67,3.26,,43.76,12.82
5.31,8.75,0.09,26.83,17.42,20.24,13.82,61.31,0.78,260.83,2016-10-24 19:45:00,1.7,3.38,,45.8,13.36
59.79,98.49,0.61,28.82,18.34,20.91,15.5,55.36,0.7,257.08,2016-10-24 20:00:00,1.49,3.6,,47.26,13.77
59.79,98.49,1.84,31.08,18.64,19.39,17.72,50.24,0.74,262.0,2016-10-24 20:15:00,1.94,4.07,,44.25,13.36
59.79,98.49,1.23,33.37,20.3,19.83,18.42,48.22,0.72,257.09,2016-10-24 20:30:00,1.97,4.36,,45.27,13.69
59.06,98.35,1.1,31.76,22.89,21.07,17.48,47.32,0.77,228.94,2016-10-24 20:45:00,1.7,4.55,,48.14,14.34
51.67,96.95,0.76,30.71,19.22,22.26,16.66,44.11,0.73,264.7,2016-10-24 21:00:00,2.06,4.73,,50.62,14.96
51.67,96.95,0.3,30.55,24.99,23.06,16.18,40.12,0.54,263.76,2016-10-24 21:15:00,2.02,4.94,,52.1,15.38
51.67,96.95,0.11,34.01,24.73,21.99,17.61,40.94,0.86,247.83,2016-10-24 21:30:00,2.31,5.38,,51.6,14.73
51.72,96.95,0.82,31.6,25.07,22.91,17.08,55.57,0.87,254.49,2016-10-24 21:45:00,2.2,5.67,,53.68,15.19
52.25,112.39,0.06,29.14,22.35,24.88,15.15,62.06,0.78,261.86,2016-10-24 22:00:00,2.06,5.64,,56.46,16.44
52.25,112.39,0.22,28.42,21.92,25.68,15.0,55.43,0.71,249.79,2016-10-24 22:15:00,1.79,5.65,,57.76,16.78
52.25,112.39,0.76,28.72,24.33,23.2,15.61,47.29,0.5,286.07,2016-10-24 22:30:00,1.97,5.68,,54.13,15.23
51.69,72.93,1.51,30.39,24.88,23.82,17.09,52.92,0.64,245.58,2016-10-24 22:45:00,2.17,5.76,,54.34,15.84
45.94,72.93,1.06,32.36,24.09,24.65,17.74,61.19,0.84,244.78,2016-10-24 23:00:00,1.99,5.84,,56.17,16.33
45.94,72.93,0.34,31.25,21.38,25.6,16.6,49.64,0.77,241.92,2016-10-24 23:15:00,1.95,5.91,,58.36,16.7
45.94,72.93,0.23,29.52,19.96,26.65,15.57,69.37,0.6,257.6,2016-10-24 23:30:00,1.93,6.0,,60.67,17.08
45.9,74.74,1.07,28.75,20.17,27.11,15.88,48.52,0.64,246.5,2016-10-24 23:45:00,1.96,6.09,,61.67,17.2
45.45,93.28,0.15,29.5,16.67,27.56,15.5,41.36,0.64,276.7,2016-10-25 00:00:00,1.92,6.12,,62.49,17.33
45.45,93.28,1.38,30.12,19.6,28.44,16.84,37.22,0.65,281.95,2016-10-25 00:15:00,2.46,6.08,,63.28,18.48
45.45,93.28,0.96,26.97,19.18,26.53,14.86,46.12,0.66,277.95,2016-10-25 00:30:00,1.58,6.06,,59.49,17.54
45.68,92.13,2.18,24.89,17.02,29.14,14.72,44.22,0.64,262.99,2016-10-25 00:45:00,2.11,6.12,,64.82,18.02
48.03,80.34,0.81,24.11,15.45,28.2,13.22,41.19,0.61,254.82,2016-10-25 01:00:00,1.52,6.0,,64.34,17.05
48.03,80.34,1.14,26.3,15.39,28.45,14.56,57.42,0.7,247.56,2016-10-25 01:15:00,1.38,5.85,,63.83,17.49
48.03,80.34,0.78,25.27,15.61,28.28,13.68,39.72,0.55,266.99,2016-10-25 01:30:00,2.02,5.81,,63.53,17.38
48.45,81.16,0.34,27.45,15.25,27.59,14.49,33.14,0.54,275.14,2016-10-25 01:45:00,2.4,5.81,,63.68,16.83
52.82,89.56,0.13,29.05,14.18,28.13,14.62,37.95,0.67,249.53,2016-10-25 02:00:00,1.64,5.85,,63.0,17.13
52.82,89.56,0.4,28.03,14.41,28.55,14.96,40.05,0.65,250.29,2016-10-25 02:15:00,1.71,5.9,,63.4,17.21
52.82,89.56,1.91,28.84,14.13,28.74,16.6,38.81,0.51,277.49,2016-10-25 02:30:00,1.68,5.9,,63.26,17.22
52.74,89.23,2.91,31.42,19.21,28.95,18.74,59.94,0.58,314.39,2016-10-25 02:45:00,1.42,5.97,,63.21,17.25
51.99,85.77,6.22,29.57,20.53,28.63,20.44,36.97,0.35,154.88,2016-10-25 03:00:00,1.29,6.01,,62.14,17.0
51.99,85.77,9.14,34.28,24.86,28.8,25.24,14.77,0.29,121.69,2016-10-25 03:15:00,2.19,5.84,,61.49,17.72
51.99,85.77,21.96,36.02,23.54,28.35,36.43,12.71,0.29,150.01,2016-10-25 03:30:00,2.98,5.85,,74.33,16.8
51.99,85.77,25.2,32.4,24.59,28.99,37.14,12.75,0.53,161.05,2016-10-25 03:45:00,3.76,6.1,,86.54,17.08
60.91,114.47,26.08,35.45,22.23,29.41,39.44,12.1,0.38,149.79,2016-10-25 04:00:00,3.83,7.56,,87.26,17.39
60.91,114.47,18.53,37.57,21.46,29.95,34.48,11.9,0.3,43.48,2016-10-25 04:15:00,3.91,8.67,,102.95,18.49
60.91,114.47,18.9,39.59,21.97,29.13,35.84,13.02,0.29,79.09,2016-10-25 04:30:00,3.56,9.18,,105.19,17.14
62.09,117.33,18.81,38.93,22.25,29.03,35.43,13.97,0.35,66.75,2016-10-25 04:45:00,3.16,9.23,,101.47,17.21
74.14,146.58,15.24,34.24,20.87,30.33,30.11,17.65,0.38,90.74,2016-10-25 05:00:00,2.9,9.52,,103.26,18.93
74.14,146.58,16.91,37.68,22.74,28.94,33.24,16.3,0.55,52.45,2016-10-25 05:15:00,2.69,9.65,,107.53,17.36
74.14,146.58,28.97,36.94,25.23,28.83,42.53,21.65,0.4,90.32,2016-10-25 05:30:00,3.86,9.57,,102.45,17.14
73.74,144.88,19.03,34.46,26.52,30.09,33.27,16.62,0.83,161.97,2016-10-25 05:45:00,3.11,9.35,,100.87,18.88
69.71,127.47,13.13,30.06,20.05,29.08,26.24,15.83,0.65,125.89,2016-10-25 06:00:00,2.69,9.54,,99.93,17.51
69.71,127.47,8.22,31.21,26.42,30.62,22.9,29.39,0.87,45.91,2016-10-25 06:15:00,2.53,9.63,,101.26,19.28
69.71,127.47,14.02,37.47,35.36,30.11,30.82,17.8,0.91,60.42,2016-10-25 06:30:00,4.28,9.64,,100.15,18.32
69.26,127.67,18.44,41.51,44.9,31.47,36.48,33.67,0.6,49.59,2016-10-25 06:45:00,3.64,9.68,,98.37,19.66
64.71,129.68,21.46,44.62,57.78,30.29,40.53,47.06,0.64,29.8,2016-10-25 07:00:00,4.02,9.36,,90.1,19.23
64.71,129.68,16.6,52.03,73.96,28.98,40.49,42.08,0.88,37.88,2016-10-25 07:15:00,3.87,9.45,,84.07,18.7
64.71,129.68,17.68,57.31,123.72,29.81,44.12,31.46,0.7,24.75,2016-10-25 07:30:00,3.87,9.31,,84.09,19.07
65.26,129.95,23.15,49.57,,30.66,44.46,21.35,0.16,46.44,2016-10-25 07:45:00,4.52,9.19,,84.27,19.5
70.9,132.7,20.55,47.45,,30.33,41.27,27.78,0.18,223.54,2016-10-25 08:00:00,4.3,9.06,,85.3,18.23
70.9,132.7,14.74,44.07,,32.02,34.85,41.14,0.82,34.5,2016-10-25 08:15:00,3.56,8.94,,85.46,20.07
70.9,132.7,12.33,46.72,,33.15,34.29,42.43,0.88,30.45,2016-10-25 08:30:00,3.14,8.94,,88.18,20.75
70.82,133.33,7.42,38.27,,33.73,25.95,53.36,0.65,8.14,2016-10-25 08:45:00,3.27,8.87,,88.67,21.06
70.03,139.87,7.35,39.98,29.99,34.07,26.78,68.65,1.12,27.28,2016-10-25 09:00:00,3.16,8.71,,92.17,21.16
70.03,139.87,4.85,36.35,182.27,33.51,22.88,54.65,1.17,44.66,2016-10-25 09:15:00,2.85,8.57,,94.39,20.95
70.03,139.87,5.82,34.45,,33.12,22.66,50.99,0.85,49.81,2016-10-25 09:30:00,3.63,8.35,,93.68,20.01
51.05,137.35,4.6,32.27,,33.19,20.55,53.02,0.7,25.23,2016-10-25 09:45:00,3.22,8.14,,93.92,20.07
51.05,111.53,4.78,29.52,22.24,33.42,19.26,58.37,0.79,5.4,2016-10-25 10:00:00,2.15,7.95,,94.95,20.16
51.05,111.53,4.07,29.6,,32.89,18.73,53.96,1.06,31.5,2016-10-25 10:15:00,2.17,7.58,,93.03,19.84
51.05,111.53,1.6,26.09,139.04,30.77,14.89,56.13,0.94,18.65,2016-10-25 10:30:00,2.07,6.83,,85.78,18.75
50.09,96.98,1.97,27.15,139.79,30.94,15.77,58.94,1.22,18.23,2016-10-25 10:45:00,2.45,6.6,,84.93,18.71
40.24,96.98,1.59,25.82,113.8,30.57,14.53,62.2,1.28,40.12,2016-10-25 11:00:00,2.45,6.35,,84.88,18.12
40.24,96.98,3.25,30.69,149.67,31.84,18.64,63.44,1.3,50.2,2016-10-25 11:15:00,1.5,6.12,,84.71,19.12
40.24,96.98,,,124.99,32.13,19.28,71.54,,,2016-10-25 11:30:00,1.85,5.89,,,
39.92,95.37,1.82,23.66,132.48,30.97,13.82,77.16,0.87,14.49,2016-10-25 11:45:00,1.88,5.58,,81.78,18.8
36.63,78.83,5.35,31.04,26.04,29.71,20.5,68.96,1.24,57.31,2016-10-25 12:00:00,3.02,5.34,,80.77,17.72
36.63,78.83,4.57,33.37,,29.8,21.1,82.13,0.79,48.43,2016-10-25 12:15:00,2.39,5.1,,79.5,17.66
36.63,78.83,2.66,26.81,149.15,29.75,16.15,96.94,0.64,343.39,2016-10-25 12:30:00,1.3,4.71,,76.16,17.96
36.37,77.61,3.03,25.39,133.3,28.58,15.69,97.98,0.69,330.25,2016-10-25 12:45:00,1.6,4.91,,75.12,16.97
33.66,65.08,2.65,24.61,132.79,29.06,14.98,92.71,0.76,39.45,2016-10-25 13:00:00,2.1,4.44,,74.61,17.46
33.66,65.08,4.93,30.35,,28.21,19.66,82.45,0.76,49.94,2016-10-25 13:15:00,2.53,4.05,,71.8,17.01
33.66,65.08,3.99,29.4,,26.93,18.56,81.77,0.62,44.37,2016-10-25 13:30:00,2.0,3.72,,67.72,16.34
34.18,64.24,2.38,25.7,,25.96,15.34,88.45,0.49,10.2,2016-10-25 13:45:00,1.58,3.78,,67.13,15.44
39.54,55.7,2.5,22.92,116.11,25.88,13.97,99.62,1.07,18.94,2016-10-25 14:00:00,2.14,3.94,,67.03,15.38
39.54,55.7,1.67,24.16,100.45,24.38,13.71,96.79,0.52,15.69,2016-10-25 14:15:00,1.45,3.38,,63.49,14.91
39.54,55.7,,,77.57,24.85,14.06,95.97,,,2016-10-25 14:30:00,1.55,3.12,,,
38.53,55.91,0.7,23.34,76.76,19.55,12.0,98.81,1.08,295.01,2016-10-25 14:45:00,1.68,2.41,,48.18,13.28
28.19,58.05,2.0,23.32,62.73,16.06,13.79,76.29,1.0,271.78,2016-10-25 15:00:00,1.68,2.25,,40.13,10.69
28.19,58.05,0.97,21.54,55.45,15.95,12.02,116.25,1.08,263.01,2016-10-25 15:15:00,1.89,2.27,,41.01,10.34
28.19,58.05,2.11,25.1,74.07,16.06,14.81,114.76,0.38,287.11,2016-10-25 15:30:00,2.19,2.14,,40.02,10.51
28.18,58.39,0.61,21.54,77.04,14.26,11.5,114.36,0.51,294.94,2016-10-25 15:45:00,2.37,1.93,,36.15,9.4
28.11,61.83,0.24,22.77,69.43,13.31,11.91,114.65,1.01,241.83,2016-10-25 16:00:00,2.59,1.88,,33.11,8.75
28.11,61.83,1.29,21.35,50.58,14.29,12.19,114.62,1.25,250.88,2016-10-25 16:15:00,1.68,1.89,,35.17,9.34
28.11,61.83,0.74,23.46,34.75,14.74,12.85,167.03,1.27,244.19,2016-10-25 16:30:00,2.37,1.82,,35.82,9.54
27.95,63.02,0.74,27.71,29.06,15.37,15.07,187.0,1.28,242.42,2016-10-25 16:45:00,2.65,1.73,,37.04,9.89
26.29,75.19,1.07,25.91,26.64,15.29,14.4,190.64,1.52,236.16,2016-10-25 17:00:00,2.24,1.8,,37.96,9.68
26.29,75.19,1.31,25.23,26.03,15.58,14.24,52.55,1.62,234.74,2016-10-25 17:15:00,2.66,2.08,,37.47,10.61
59.62,111.05,12.5,46.02,29.14,1.78,34.07,14.84,1.33,90.3,2016-10-26 09:00:00,3.88,,,,
59.62,111.05,22.47,47.88,,37.09,43.03,25.36,1.36,87.09,2016-10-26 09:15:00,4.67,9.31,,155.1,23.87
59.62,111.05,12.15,41.68,,36.85,31.51,30.77,1.36,95.51,2016-10-26 09:30:00,3.76,9.2,,149.23,23.9
59.62,114.28,9.73,45.58,,35.82,31.61,33.99,1.42,95.8,2016-10-26 09:45:00,3.8,11.28,,141.44,23.4
74.35,147.43,16.46,43.55,,35.87,35.95,34.77,1.51,84.19,2016-10-26 10:00:00,4.65,11.75,,136.16,23.34
74.35,147.43,12.65,42.26,,32.25,32.22,43.27,1.45,87.31,2016-10-26 10:15:00,3.76,14.92,,125.11,20.72
74.35,147.43,8.8,41.91,,32.31,28.95,49.88,1.35,83.06,2016-10-26 10:30:00,3.66,15.04,,122.46,20.86
74.11,145.8,5.45,39.78,,32.32,25.15,52.96,1.35,84.15,2016-10-26 10:45:00,2.62,14.9,,119.07,20.79
71.73,129.04,11.01,37.84,,30.37,28.59,57.87,1.35,83.95,2016-10-26 11:00:00,4.8,14.15,,105.51,21.0
71.73,129.04,11.92,41.76,,28.79,31.37,55.64,1.19,74.45,2016-10-26 11:15:00,4.05,13.19,,98.1,20.07
71.73,129.04,5.44,38.44,,27.78,24.45,65.74,1.09,76.68,2016-10-26 11:30:00,3.23,12.11,,93.72,19.37
53.77,127.84,3.7,36.17,,28.26,21.86,63.3,0.91,58.88,2016-10-26 11:45:00,2.05,11.98,,93.28,19.53
53.77,115.58,5.34,32.8,23.74,29.05,21.42,61.38,0.94,90.12,2016-10-26 12:00:00,2.36,11.93,,93.65,19.92
53.77,115.58,4.18,31.85,,27.89,19.95,62.54,1.16,88.04,2016-10-26 12:15:00,2.75,11.21,,92.13,18.22
53.77,115.58,0.46,27.97,184.17,28.46,14.71,74.07,1.17,103.25,2016-10-26 12:30:00,2.16,10.4,,90.34,19.22
53.57,97.35,3.53,32.43,186.23,28.33,19.7,64.21,1.14,68.01,2016-10-26 12:45:00,2.67,10.28,,88.84,19.19
51.56,97.35,1.5,30.28,,25.57,16.73,71.17,1.13,82.11,2016-10-26 13:00:00,2.11,9.22,,84.4,16.72
51.56,97.35,2.61,30.75,191.4,24.8,18.16,65.73,0.78,67.21,2016-10-26 13:15:00,2.23,8.44,,81.62,15.96
51.56,97.35,3.83,30.08,,25.15,18.71,64.2,1.19,67.8,2016-10-26 13:30:00,2.38,7.68,,78.15,17.04
50.12,95.9,3.21,31.51,168.84,24.7,18.88,70.23,1.48,85.17,2016-10-26 13:45:00,1.84,7.01,,75.36,16.8
35.29,80.99,8.33,33.35,,23.26,24.02,63.22,1.43,92.28,2016-10-26 14:00:00,1.59,6.28,,71.09,15.24
35.29,80.99,2.86,27.9,,20.77,16.8,75.54,1.24,96.03,2016-10-26 14:15:00,1.57,5.49,,65.02,13.56
35.29,80.99,0.69,26.73,154.53,20.75,14.52,77.91,1.22,115.6,2016-10-26 14:30:00,1.22,5.37,,62.73,13.71
35.87,80.35,0.35,23.63,99.45,20.74,12.51,84.28,1.2,118.24,2016-10-26 14:45:00,1.37,4.91,,61.82,13.63
41.84,73.83,1.3,26.74,26.72,20.07,15.0,90.81,1.3,91.3,2016-10-26 15:00:00,2.03,4.45,,59.41,13.21
41.84,73.83,1.73,30.59,177.15,19.58,17.33,86.71,0.35,40.51,2016-10-26 15:15:00,1.51,4.06,,59.23,12.93
44.2,,3.59,38.59,9.33,19.86,23.04,,,,2016-10-27 17:00:00,2.39,3.16,,,
44.2,101.77,1.0,33.34,46.06,18.34,18.22,129.32,1.12,237.48,2016-10-27 17:15:00,2.51,3.4,,43.87,12.78
44.2,101.77,1.32,37.47,7.42,17.03,20.63,113.98,1.11,233.84,2016-10-27 17:30:00,2.73,3.56,,42.44,11.84
44.2,104.48,0.22,39.72,75.8,18.5,20.71,103.29,0.87,241.56,2016-10-27 17:45:00,2.49,3.61,,43.57,13.12
44.18,132.24,1.95,39.56,75.35,17.46,22.23,96.18,1.19,238.8,2016-10-27 18:00:00,2.43,3.71,,42.77,12.14
44.18,132.24,2.05,39.66,102.45,17.1,22.36,69.66,1.16,240.72,2016-10-27 18:15:00,2.99,3.99,,41.66,12.04
44.18,132.24,2.26,41.76,107.85,18.53,23.63,88.54,1.05,240.49,2016-10-27 18:30:00,2.92,4.56,,43.36,13.54
44.43,129.54,1.65,39.96,51.23,19.38,22.2,110.64,0.84,265.13,2016-10-27 18:45:00,3.08,5.05,,45.34,14.63
47.04,101.85,2.18,41.25,48.8,20.9,23.15,83.7,0.65,257.28,2016-10-27 19:00:00,3.25,5.68,,48.37,16.29
47.04,101.85,1.97,44.41,35.2,20.11,24.78,59.03,0.32,253.19,2016-10-27 19:15:00,3.2,5.44,,46.79,15.59
47.04,101.85,2.04,45.89,31.65,20.49,25.4,46.31,0.51,235.2,2016-10-27 19:30:00,2.95,5.54,,48.09,15.71
47.04,103.24,2.69,47.54,34.04,21.18,26.98,51.12,0.64,260.64,2016-10-27 19:45:00,3.29,5.76,,49.74,16.07
60.99,117.48,3.87,49.86,39.47,22.44,29.15,131.35,1.01,304.77,2016-10-27 20:00:00,3.86,6.12,,52.51,16.8
60.99,117.48,2.22,49.1,166.1,23.94,27.44,119.32,0.56,320.55,2016-10-27 20:15:00,3.26,6.35,,55.29,17.57
60.99,117.48,2.39,49.38,123.12,25.4,27.72,75.56,0.56,229.53,2016-10-27 20:30:00,3.54,6.23,,58.14,18.27
60.95,117.55,3.25,51.9,67.63,25.17,29.72,45.25,0.45,109.31,2016-10-27 20:45:00,4.09,6.36,,60.28,17.45
60.6,118.29,26.08,62.06,43.54,26.54,53.34,17.56,0.51,155.18,2016-10-27 21:00:00,5.52,6.7,,63.32,18.21
60.6,118.29,40.3,67.7,41.22,27.48,67.69,13.84,0.34,144.51,2016-10-27 21:15:00,5.13,7.04,,65.61,18.79
60.6,118.29,47.76,66.42,40.43,29.58,73.01,18.85,0.26,173.59,2016-10-27 21:30:00,5.98,7.81,,69.21,21.21
63.63,122.24,48.02,68.14,41.58,30.99,74.11,15.91,0.65,157.92,2016-10-27 21:45:00,7.72,8.18,,72.32,22.31
94.66,162.69,56.92,67.28,48.24,32.5,80.79,28.51,0.33,119.34,2016-10-27 22:00:00,7.46,8.81,,76.78,23.65
94.66,162.69,41.28,60.02,45.88,32.97,64.46,12.91,0.28,133.37,2016-10-27 22:15:00,6.13,10.83,,81.47,25.07
94.66,162.69,40.1,58.41,45.92,33.47,62.68,18.21,0.21,35.53,2016-10-27 22:30:00,6.19,19.05,,86.28,26.37
98.84,170.33,41.25,60.14,45.33,32.17,64.5,19.72,0.65,58.66,2016-10-27 22:45:00,7.76,18.45,,90.53,24.79
141.69,248.61,59.1,61.7,48.12,33.84,79.63,19.89,0.6,55.62,2016-10-27 23:00:00,8.35,20.38,,90.46,27.04
141.69,248.61,57.68,62.28,45.02,34.76,78.79,18.42,0.34,26.48,2016-10-27 23:15:00,7.21,20.25,,91.84,27.79
141.69,248.61,34.88,61.53,52.54,35.74,60.12,30.36,0.64,11.74,2016-10-27 23:30:00,5.7,20.15,,94.02,28.44
140.14,245.82,28.46,60.46,66.84,35.61,54.42,56.89,0.69,21.29,2016-10-27 23:45:00,4.97,20.25,,94.55,28.44
124.23,217.23,22.33,55.13,41.16,35.06,46.72,52.79,0.89,21.88,2016-10-28 00:00:00,4.1,20.49,,93.57,28.26
124.23,217.23,18.79,57.59,159.98,32.46,45.16,30.57,0.91,33.48,2016-10-28 00:15:00,4.5,20.42,,91.84,25.75
124.23,217.23,18.94,56.27,184.0,31.48,44.59,26.09,1.08,41.75,2016-10-28 00:30:00,4.42,19.49,,86.54,26.04
121.14,211.31,18.34,53.97,185.39,31.07,42.9,26.09,1.06,43.32,2016-10-28 00:45:00,4.45,18.69,,86.88,24.2
89.5,150.62,20.72,53.16,175.08,31.0,44.4,33.79,0.62,9.01,2016-10-28 01:00:00,5.17,18.34,,86.21,23.88
89.5,150.62,25.25,57.13,164.78,32.29,50.1,36.42,0.75,27.19,2016-10-28 01:15:00,4.82,17.92,,85.9,25.4
89.5,150.62,23.68,59.52,148.56,32.58,50.09,57.5,0.54,18.29,2016-10-28 01:30:00,3.3,17.62,,85.88,25.4
89.28,149.6,19.97,55.74,128.66,32.66,45.14,42.82,0.57,17.26,2016-10-28 01:45:00,4.46,17.25,,86.53,25.17
87.09,139.08,12.1,48.73,121.04,32.99,35.16,35.34,0.63,8.45,2016-10-28 02:00:00,3.7,17.11,,86.21,25.13
87.09,139.08,9.78,44.07,99.8,33.13,30.87,37.81,0.47,7.49,2016-10-28 02:15:00,3.07,17.0,,86.88,25.04
87.09,139.08,9.48,41.22,88.16,32.91,29.14,44.43,0.31,182.37,2016-10-28 02:30:00,3.24,16.62,,84.87,24.65
86.36,137.25,63.39,45.93,76.88,32.38,74.83,36.19,0.65,155.12,2016-10-28 02:45:00,6.41,16.02,,82.85,24.15
78.92,118.52,78.96,47.77,59.11,32.32,88.28,25.19,0.24,170.29,2016-10-28 03:00:00,7.76,15.59,,82.76,23.95
78.92,118.52,51.69,49.34,64.81,31.02,67.23,17.1,0.71,98.95,2016-10-28 03:15:00,6.49,15.57,,87.8,22.27
78.92,118.52,31.55,44.09,60.24,32.55,48.34,16.62,0.39,142.13,2016-10-28 03:30:00,5.0,15.33,,88.22,24.05
78.85,119.69,31.6,44.33,56.62,33.43,48.5,15.84,0.39,146.65,2016-10-28 03:45:00,4.19,14.98,,96.09,24.35
