pm2.5,pm10,no,no2,so2,co,nox,ozone,timestamp,nh3,benzene,eth_benzene,mp_xylene
21.0,26.25,17.14,,,,13.07,2.12,2023-08-14 10:15:00,,,,
21.0,26.25,17.11,,,,13.05,1.95,2023-08-14 10:30:00,,,,
21.0,26.25,16.83,0.17,,,13.41,2.03,2023-08-14 10:45:00,,,,
23.71,29.64,15.65,0.62,,,13.04,1.66,2023-08-14 11:00:00,,,,
25.0,31.25,15.08,0.61,,,12.58,1.64,2023-08-14 11:15:00,,,,
25.0,31.25,14.42,0.85,,,12.16,1.78,2023-08-14 11:30:00,,,,
25.0,31.25,14.13,0.79,,,11.91,1.79,2023-08-14 11:45:00,,,,
25.0,31.25,13.06,1.55,,,11.43,1.61,2023-08-14 12:00:00,,,,
25.0,31.25,12.1,1.9,,,10.87,1.78,2023-08-14 12:15:00,,,,
25.0,31.25,11.67,2.05,,,10.58,1.78,2023-08-14 12:30:00,,,,
25.0,31.25,11.09,3.45,,,10.85,1.87,2023-08-14 12:45:00,,,,
24.3,30.4,11.17,3.63,,,11.0,1.86,2023-08-14 13:00:00,,,,
24.0,30.0,11.99,3.61,,,11.66,1.61,2023-08-14 13:15:00,,,,
24.0,30.0,13.37,5.1,,,13.59,1.58,2023-08-14 13:30:00,,,,
24.0,30.0,20.29,9.4,,,21.35,1.57,2023-08-14 13:45:00,,,,
28.07,35.09,16.4,1.13,,,12.26,1.81,2023-08-14 14:00:00,,,,
30.0,37.5,13.16,3.65,,,12.65,1.6,2023-08-14 14:15:00,,,,
30.0,37.5,13.95,4.49,,,13.73,1.77,2023-08-14 14:30:00,,,,
30.0,37.5,14.56,3.44,,,13.67,1.47,2023-08-14 14:45:00,,,,
39.1,48.53,15.17,2.03,,,13.42,1.7,2023-08-14 15:00:00,,,,
43.0,53.75,15.65,2.83,,,14.22,1.68,2023-08-14 15:15:00,,,,
43.0,53.75,15.24,3.48,,,14.24,1.54,2023-08-14 15:30:00,,,,
43.0,53.75,16.01,2.76,,,14.48,2.24,2023-08-14 15:45:00,,,,
45.71,57.14,17.42,1.46,,,14.94,1.64,2023-08-14 16:00:00,,,,
47.0,58.75,17.99,0.99,,,15.15,1.63,2023-08-14 16:15:00,,,,
47.0,58.75,18.54,0.07,,,14.94,1.74,2023-08-14 16:30:00,,,,
47.0,58.75,19.01,0.17,,,15.52,1.87,2023-08-14 16:45:00,,,,
44.29,55.36,20.12,0.05,,,16.26,1.66,2023-08-14 17:00:00,,,,
43.0,53.75,20.81,0.36,,,17.05,1.74,2023-08-14 17:15:00,,,,
43.0,53.75,22.22,,,,17.2,1.88,2023-08-14 17:30:00,,,,
43.0,53.75,22.47,0.14,,,18.13,1.8,2023-08-14 17:45:00,,,,
42.32,52.9,23.44,0.12,,,18.99,1.94,2023-08-14 18:00:00,,,,
42.0,52.5,24.3,,,,19.19,1.73,2023-08-14 18:15:00,,,,
42.0,52.5,24.88,,,,19.82,1.67,2023-08-14 18:30:00,,,,
42.0,52.5,25.99,,,,20.25,1.56,2023-08-14 18:45:00,,,,
26.39,32.99,26.07,,,,20.7,1.59,2023-08-14 19:00:00,,,,
19.0,23.75,26.34,,,,20.36,1.65,2023-08-14 19:15:00,,,,
19.0,23.75,26.73,,,,20.21,1.65,2023-08-14 19:30:00,,,,
19.0,23.75,27.61,,,,20.5,1.53,2023-08-14 19:45:00,,,,
13.31,16.96,28.64,,,,21.56,1.8,2023-08-14 20:00:00,,,,
11.0,13.75,30.12,,,,22.0,1.69,2023-08-14 20:15:00,,,,
11.0,13.75,30.25,,,,21.75,1.89,2023-08-14 20:30:00,,,,
11.0,13.75,30.73,,,,22.73,1.84,2023-08-14 20:45:00,,,,
13.04,16.29,30.91,,,,23.58,2.03,2023-08-14 21:00:00,,,,
14.0,17.5,31.59,,,,24.01,1.81,2023-08-14 21:15:00,,,,
,17.5,,,,,,,2023-08-14 21:30:00,,,,
14.0,17.5,32.78,,,,24.93,1.87,2023-08-14 21:45:00,,,,
13.31,16.65,,,,,,1.76,2023-08-14 22:00:00,,,,
13.0,16.25,33.51,0.04,,,26.74,1.66,2023-08-14 22:15:00,,,,
13.0,16.25,34.08,0.02,,,27.12,1.69,2023-08-14 22:30:00,,,,
13.0,16.25,35.12,,,,27.07,1.38,2023-08-14 22:45:00,,,,
15.04,18.79,35.9,,,,26.95,1.57,2023-08-14 23:00:00,,,,
16.0,20.0,35.69,,,,26.09,1.52,2023-08-14 23:15:00,,,,
16.0,20.0,35.19,,,,26.19,1.67,2023-08-14 23:30:00,,,,
16.0,20.0,36.23,,,,27.08,1.47,2023-08-14 23:45:00,,,,
11.25,13.93,38.54,,,,28.03,1.89,2023-08-15 00:00:00,,,,
9.0,11.25,38.78,,,,28.86,1.68,2023-08-15 00:15:00,,,,
9.0,11.25,38.32,,,,29.22,1.73,2023-08-15 00:30:00,,,,
9.0,11.25,38.95,,,,29.15,1.57,2023-08-15 00:45:00,,,,
,,39.9,,,,29.2,1.57,2023-08-15 01:00:00,,,,
,,40.67,,,,29.85,1.65,2023-08-15 01:15:00,,,,
,,40.9,,,,30.61,1.79,2023-08-15 01:30:00,,,,
,,40.28,,,,30.44,2.15,2023-08-15 01:45:00,,,,
9.0,11.25,41.48,,,,30.77,1.49,2023-08-15 02:00:00,,,,
9.0,11.25,41.25,,,,31.14,1.7,2023-08-15 02:15:00,,,,
9.0,11.25,41.63,,,,31.23,1.92,2023-08-15 02:30:00,,,,
9.0,11.25,43.24,,,,32.01,1.75,2023-08-15 02:45:00,,,,
13.07,16.34,43.25,,,,32.48,1.71,2023-08-15 03:00:00,,,,
15.0,18.75,44.14,,,,31.92,1.63,2023-08-15 03:15:00,,,,
15.0,18.75,44.15,,,,32.97,1.64,2023-08-15 03:30:00,,,,
15.0,18.75,44.2,,,,33.85,1.7,2023-08-15 03:45:00,,,,
12.96,16.21,48.36,8.41,,,41.46,1.89,2023-08-15 04:00:00,,,,
12.0,15.0,54.61,0.59,,,41.37,1.8,2023-08-15 04:15:00,,,,
12.0,15.0,46.64,,,,33.67,1.81,2023-08-15 04:30:00,,,,
12.0,,45.16,,,,34.47,1.53,2023-08-15 04:45:00,,,,
11.32,14.15,46.45,,,,34.9,1.69,2023-08-15 05:00:00,,,,
11.0,13.75,45.88,,,,34.28,1.57,2023-08-15 05:15:00,,,,
11.0,13.75,43.89,,,,33.05,1.39,2023-08-15 05:30:00,,,,
11.0,13.75,29.3,,,,22.71,1.38,2023-08-15 05:45:00,,,,
11.0,13.75,18.06,,,,13.4,1.66,2023-08-15 06:00:00,,,,
11.0,13.75,16.94,,,,12.58,1.45,2023-08-15 06:15:00,,,,
11.0,13.75,16.7,,,,12.52,1.59,2023-08-15 06:30:00,,,,
11.0,13.75,16.68,,,,12.05,1.58,2023-08-15 06:45:00,,,,
13.04,16.29,16.57,,,,12.34,1.5,2023-08-15 07:00:00,,,,
14.0,17.5,16.34,,,,12.62,1.67,2023-08-15 07:15:00,,,,
14.0,17.5,16.01,,,,12.44,1.69,2023-08-15 07:30:00,,,,
14.0,17.5,15.53,0.06,,,12.56,1.52,2023-08-15 07:45:00,,,,
12.62,15.75,15.78,0.06,,,12.8,1.83,2023-08-15 08:00:00,,,,
12.0,15.0,15.51,0.3,,,12.73,1.84,2023-08-15 08:15:00,,,,
12.0,15.0,16.04,0.44,,,13.22,1.67,2023-08-15 08:30:00,,,,
12.0,15.0,14.98,2.15,,,13.29,1.56,2023-08-15 08:45:00,,,,
17.43,21.79,14.36,2.13,,,12.83,1.62,2023-08-15 09:00:00,,,,
20.0,25.0,13.57,2.99,,,12.63,1.37,2023-08-15 09:15:00,,,,
20.0,25.0,12.61,3.61,,,12.18,1.66,2023-08-15 09:30:00,,,,
20.0,25.0,11.87,2.73,,,11.1,1.57,2023-08-15 09:45:00,,,,
21.36,26.7,11.4,3.6,,,11.18,1.78,2023-08-15 10:00:00,,,,
22.0,27.5,10.74,4.37,,,11.07,1.37,2023-08-15 10:15:00,,,,
22.0,27.5,10.3,3.59,,,10.3,1.49,2023-08-15 10:30:00,,,,
22.0,27.5,9.88,3.26,,,9.76,1.5,2023-08-15 10:45:00,,,,
25.5,31.74,9.09,3.91,,,9.45,1.77,2023-08-15 11:00:00,,,,
27.0,33.75,8.67,4.31,,,9.36,1.56,2023-08-15 11:15:00,,,,
27.0,33.75,8.87,3.97,,,9.33,1.46,2023-08-15 11:30:00,,,,
27.0,33.75,9.23,3.03,,,9.13,1.73,2023-08-15 11:45:00,,,,
29.1,36.29,9.37,3.21,,,9.32,1.66,2023-08-15 12:00:00,,,,
30.0,37.5,8.52,3.2,,,8.64,1.83,2023-08-15 12:15:00,,,,
30.0,37.5,8.67,3.41,,,8.84,1.45,2023-08-15 12:30:00,,,,
30.0,37.5,8.6,2.81,,,8.48,1.41,2023-08-15 12:45:00,,,,
35.43,44.17,7.84,3.36,,,8.17,1.62,2023-08-15 13:00:00,,,,
38.0,47.5,7.45,3.25,,,7.78,1.26,2023-08-15 13:15:00,,,,
38.0,47.5,7.18,3.66,,,7.79,1.76,2023-08-15 13:30:00,,,,
38.0,47.5,7.48,4.38,,,8.42,1.74,2023-08-15 13:45:00,,,,
40.67,50.89,7.6,5.82,,,9.29,1.38,2023-08-15 14:00:00,,,,
42.0,52.5,7.92,6.19,,,9.71,1.31,2023-08-15 14:15:00,,,,
42.0,52.5,7.45,6.76,,,9.64,1.67,2023-08-15 14:30:00,,,,
42.0,52.5,7.18,7.02,,,9.57,1.44,2023-08-15 14:45:00,,,,
49.0,60.98,6.96,7.21,,,9.49,1.79,2023-08-15 15:00:00,,,,
52.0,65.0,7.2,6.72,,,9.42,1.86,2023-08-15 15:15:00,,,,
52.0,65.0,6.99,5.99,,,8.88,1.32,2023-08-15 15:30:00,,,,
52.0,65.0,6.88,5.35,,,8.44,1.61,2023-08-15 15:45:00,,,,
39.11,48.88,6.65,6.28,,,8.73,1.48,2023-08-15 16:00:00,,,,
33.0,41.25,6.14,5.84,,,8.08,1.27,2023-08-15 16:15:00,,,,
33.0,41.25,6.33,5.66,,,8.16,1.48,2023-08-15 16:30:00,,,,
33.0,41.25,6.8,4.95,,,8.16,1.56,2023-08-15 16:45:00,,,,
22.67,28.53,6.51,4.82,,,7.86,1.23,2023-08-15 17:00:00,,,,
18.0,22.5,6.25,4.88,,,7.69,1.09,2023-08-15 17:15:00,,,,
18.0,22.5,6.24,4.35,,,7.38,1.1,2023-08-15 17:30:00,,,,
18.0,22.5,,,,,,,2023-08-15 17:45:00,,,,
14.61,18.26,6.05,4.37,,,7.23,1.54,2023-08-15 18:00:00,,,,
13.0,16.25,6.03,3.77,,,6.91,1.62,2023-08-15 18:15:00,,,,
13.0,16.25,5.78,3.48,,,6.55,1.55,2023-08-15 18:30:00,,,,
13.0,16.25,5.7,3.28,,,6.37,1.39,2023-08-15 18:45:00,,,,
11.6,14.55,5.87,3.5,,,6.63,1.47,2023-08-15 19:00:00,,,,
11.0,13.75,6.12,3.72,,,6.96,1.31,2023-08-15 19:15:00,,,,
11.0,13.75,5.5,3.67,,,6.41,1.65,2023-08-15 19:30:00,,,,
11.0,13.75,5.89,2.64,,,6.19,1.31,2023-08-15 19:45:00,,,,
16.6,20.54,5.84,2.52,,,6.07,1.46,2023-08-15 20:00:00,,,,
19.0,23.75,5.58,2.55,,,5.9,1.7,2023-08-15 20:15:00,,,,
19.0,23.75,5.85,2.88,,,6.29,1.23,2023-08-15 20:30:00,,,,
19.0,23.75,5.82,2.12,,,5.86,1.54,2023-08-15 20:45:00,,,,
14.8,18.66,5.37,2.28,,,5.56,1.44,2023-08-15 21:00:00,,,,
13.0,16.25,5.49,2.19,,,5.62,1.5,2023-08-15 21:15:00,,,,
13.0,16.25,5.8,1.51,,,5.53,1.19,2023-08-15 21:30:00,,,,
13.0,16.25,5.6,0.92,,,5.04,1.38,2023-08-15 21:45:00,,,,
16.33,20.49,5.37,0.29,,,4.48,1.27,2023-08-15 22:00:00,,,,
18.0,22.5,5.43,0.42,,,4.64,1.7,2023-08-15 22:15:00,,,,
18.0,22.5,5.49,0.47,,,4.72,1.49,2023-08-15 22:30:00,,,,
18.0,22.5,5.5,0.65,,,4.81,1.38,2023-08-15 22:45:00,,,,
12.4,15.71,5.51,0.76,,,4.9,1.74,2023-08-15 23:00:00,,,,
10.0,12.5,5.97,0.14,,,4.92,1.54,2023-08-15 23:15:00,,,,
10.0,12.5,5.53,0.05,,,4.5,1.36,2023-08-15 23:30:00,,,,
10.0,12.5,5.69,0.07,,,4.57,1.35,2023-08-15 23:45:00,,,,
10.0,12.5,6.21,0.13,,,5.1,1.11,2023-08-16 00:00:00,,,,
10.0,12.5,6.17,,,,4.7,1.41,2023-08-16 00:15:00,,,,
10.0,12.5,5.87,0.16,,,4.78,1.52,2023-08-16 00:30:00,,,,
10.0,12.5,5.83,0.17,,,4.73,1.52,2023-08-16 00:45:00,,,,
,,6.32,,,,4.69,1.78,2023-08-16 01:00:00,,,,
,,6.06,,,,4.33,1.95,2023-08-16 01:15:00,,,,
,,5.34,,,,4.08,1.42,2023-08-16 01:30:00,,,,
,,5.94,,,,4.44,1.67,2023-08-16 01:45:00,,,,
7.4,9.25,6.66,,,,5.17,1.62,2023-08-16 02:00:00,,,,
8.0,10.0,6.32,,,,5.03,1.68,2023-08-16 02:15:00,,,,
8.0,10.0,6.35,,,,4.77,1.62,2023-08-16 02:30:00,,,,
8.0,10.0,6.92,,,,4.9,1.58,2023-08-16 02:45:00,,,,
7.32,9.15,6.17,,,,4.44,1.78,2023-08-16 03:00:00,,,,
7.0,8.75,6.78,,,,4.89,1.77,2023-08-16 03:15:00,,,,
7.0,8.75,7.27,,,,5.06,1.52,2023-08-16 03:30:00,,,,
7.0,8.75,7.29,,,,4.88,1.46,2023-08-16 03:45:00,,,,
7.68,9.6,6.94,,,,5.13,1.58,2023-08-16 04:00:00,,,,
8.0,10.0,6.99,,,,5.25,1.23,2023-08-16 04:15:00,,,,
8.0,10.0,7.4,,,,5.12,1.73,2023-08-16 04:30:00,,,,
8.0,10.0,8.13,,,,5.33,1.68,2023-08-16 04:45:00,,,,
8.68,10.85,7.64,,,,5.28,1.34,2023-08-16 05:00:00,,,,
9.0,11.25,7.96,,,,5.43,1.61,2023-08-16 05:15:00,,,,
9.0,11.25,8.8,,,,5.83,1.13,2023-08-16 05:30:00,,,,
9.0,11.25,8.8,,,,6.2,1.45,2023-08-16 05:45:00,,,,
9.0,11.25,8.54,,,,6.55,1.4,2023-08-16 06:00:00,,,,
9.0,11.25,8.66,,,,6.34,1.5,2023-08-16 06:15:00,,,,
9.0,11.25,8.56,,,,6.33,1.73,2023-08-16 06:30:00,,,,
9.0,11.25,8.53,,,,5.52,1.62,2023-08-16 06:45:00,,,,
11.84,14.75,8.82,,,,5.49,1.56,2023-08-16 07:00:00,,,,
13.0,16.25,8.65,,,,5.95,1.79,2023-08-16 07:15:00,,,,
13.0,16.25,8.6,,,,6.18,1.39,2023-08-16 07:30:00,,,,
13.0,16.25,8.99,,,,6.47,1.55,2023-08-16 07:45:00,,,,
13.69,17.1,8.95,0.04,,,7.16,1.88,2023-08-16 08:00:00,,,,
14.0,17.5,8.77,0.18,,,7.2,1.88,2023-08-16 08:15:00,,,,
14.0,17.5,8.95,,,,6.87,1.73,2023-08-16 08:30:00,,,,
14.0,17.5,9.03,0.23,,,7.32,1.49,2023-08-16 08:45:00,,,,
22.96,28.33,9.04,2.22,,,8.53,1.48,2023-08-16 09:00:00,,,,
27.0,33.75,8.97,1.93,,,8.31,1.6,2023-08-16 09:15:00,,,,
27.0,33.75,8.45,1.97,,,7.93,1.48,2023-08-16 09:30:00,,,,
,,37.83,1.75,,,31.63,,2023-08-16 15:00:00,32.93,,,
,,22.48,5.4,,,21.14,0.86,2023-08-16 15:15:00,11.39,,,
,,8.42,8.76,,,11.52,1.57,2023-08-16 15:30:00,,,,
,,7.29,9.38,,,10.92,1.36,2023-08-16 15:45:00,,,,
,,8.16,8.33,,,11.07,1.57,2023-08-16 16:00:00,,,,
,,8.48,7.34,,,10.77,1.66,2023-08-16 16:15:00,,,,
,,8.41,5.92,,,10.0,1.53,2023-08-16 16:30:00,,,,
,,8.16,5.46,,,9.52,1.6,2023-08-16 16:45:00,,,,
,19.78,9.58,3.31,,,9.56,1.79,2023-08-16 17:00:00,,,,
18.0,22.5,9.26,3.77,,,9.53,1.6,2023-08-16 17:15:00,,,,
18.0,22.5,9.51,3.27,,,9.47,1.28,2023-08-16 17:30:00,,,,
18.0,22.5,10.04,0.85,,,8.61,1.44,2023-08-16 17:45:00,,,,
10.3,13.33,9.66,1.13,,,8.44,1.51,2023-08-16 18:00:00,,,,
7.0,8.75,9.19,1.09,,,8.04,1.74,2023-08-16 18:15:00,,,,
7.0,8.75,8.86,0.9,,,7.68,1.41,2023-08-16 18:30:00,,,,
7.0,8.75,9.19,1.06,,,8.05,1.71,2023-08-16 18:45:00,,,,
11.9,14.78,9.13,1.27,,,8.11,1.79,2023-08-16 19:00:00,,,,
14.0,17.5,9.58,0.72,,,8.17,1.74,2023-08-16 19:15:00,,,,
14.0,17.5,9.4,,,,7.31,1.74,2023-08-16 19:30:00,,,,
14.0,17.5,9.67,0.01,,,7.5,1.63,2023-08-16 19:45:00,,,,
15.38,19.2,9.71,,,,7.33,1.47,2023-08-16 20:00:00,,,,
16.0,20.0,9.69,,,,7.17,1.41,2023-08-16 20:15:00,,,,
16.0,20.0,10.23,,,,7.27,1.74,2023-08-16 20:30:00,,,,
16.0,20.0,9.79,,,,7.44,1.51,2023-08-16 20:45:00,,,,
14.62,18.3,9.82,,,,7.25,1.54,2023-08-16 21:00:00,,,,
14.0,17.5,10.48,,,,7.41,1.9,2023-08-16 21:15:00,,,,
14.0,17.5,9.29,0.05,,,7.44,1.53,2023-08-16 21:30:00,,,,
14.0,17.5,9.23,0.01,,,7.47,1.72,2023-08-16 21:45:00,,,,
17.5,21.7,9.07,,,,7.11,1.63,2023-08-16 22:00:00,,,,
19.0,23.75,9.16,,,,6.99,1.56,2023-08-16 22:15:00,,,,
19.0,23.75,9.74,,,,6.86,1.53,2023-08-16 22:30:00,,,,
19.0,23.75,9.6,,,,6.7,1.88,2023-08-16 22:45:00,,,,
16.24,20.42,9.94,,,,6.66,1.43,2023-08-16 23:00:00,,,,
15.0,18.75,9.55,,,,6.43,1.8,2023-08-16 23:15:00,,,,
15.0,18.75,9.79,,,,6.69,1.67,2023-08-16 23:30:00,,,,
15.0,18.75,9.87,,,,6.35,1.57,2023-08-16 23:45:00,,,,
13.62,17.05,9.99,,,,6.52,1.45,2023-08-17 00:00:00,,,,
13.0,16.25,10.3,,,,6.53,1.52,2023-08-17 00:15:00,,,,
13.0,16.25,10.48,,,,6.88,1.51,2023-08-17 00:30:00,,,,
13.0,16.25,10.71,,,,6.99,1.48,2023-08-17 00:45:00,,,,
,,10.81,,,,6.74,1.45,2023-08-17 01:00:00,,,,
,,10.81,,,,6.74,1.54,2023-08-17 01:15:00,,,,
,,10.75,,,,6.66,1.64,2023-08-17 01:30:00,,,,
,,10.85,,,,6.37,1.47,2023-08-17 01:45:00,,,,
9.6,12.02,10.78,,,,6.54,1.47,2023-08-17 02:00:00,,,,
9.0,11.25,10.42,,,,6.58,1.38,2023-08-17 02:15:00,,,,
9.0,11.25,11.02,,,,6.5,1.42,2023-08-17 02:30:00,,,,
9.0,11.25,11.59,,,,6.69,1.12,2023-08-17 02:45:00,,,,
7.62,9.55,11.41,,,,6.91,1.58,2023-08-17 03:00:00,,,,
7.0,8.75,11.5,,,,6.73,1.46,2023-08-17 03:15:00,,,,
7.0,8.75,11.66,,,,6.98,1.45,2023-08-17 03:30:00,,,,
7.0,8.75,11.28,,,,6.91,1.43,2023-08-17 03:45:00,,,,
4.9,6.21,11.33,,,,6.66,1.46,2023-08-17 04:00:00,,,,
4.0,5.0,11.86,,,,6.91,1.98,2023-08-17 04:15:00,,,,
4.0,5.0,11.96,,,,7.21,1.54,2023-08-17 04:30:00,,,,
4.0,5.0,11.98,,,,7.28,1.26,2023-08-17 04:45:00,,,,
7.44,9.24,12.12,,,,7.02,1.66,2023-08-17 05:00:00,,,,
9.0,11.25,12.21,,,,7.21,1.52,2023-08-17 05:15:00,,,,
9.0,11.25,12.9,,,,7.51,1.44,2023-08-17 05:30:00,,,,
9.0,11.25,13.38,,,,8.21,1.58,2023-08-17 05:45:00,,,,
9.0,11.25,13.48,,,,8.09,1.85,2023-08-17 06:00:00,,,,
9.0,11.25,13.79,,,,7.95,1.54,2023-08-17 06:15:00,,,,
9.0,11.25,13.59,,,,7.9,1.47,2023-08-17 06:30:00,,,,
9.0,11.25,13.1,,,,7.93,1.41,2023-08-17 06:45:00,,,,
14.37,18.25,12.75,,,,7.6,1.48,2023-08-17 07:00:00,,,,
17.0,21.25,13.32,,,,8.07,1.54,2023-08-17 07:15:00,,,,
17.0,21.25,13.15,,,,8.08,1.57,2023-08-17 07:30:00,,,,
17.0,21.25,13.63,,,,8.55,1.64,2023-08-17 07:45:00,,,,
23.79,29.73,13.73,,,,9.01,1.66,2023-08-17 08:00:00,,,,
27.0,33.75,,,,,,,2023-08-17 08:15:00,,,,
27.0,33.75,14.8,,,,10.68,1.52,2023-08-17 08:30:00,,,,
27.0,33.75,15.03,,,,11.3,1.41,2023-08-17 08:45:00,,,,
24.9,31.21,14.88,0.03,,,11.78,1.68,2023-08-17 09:00:00,,,,
24.0,30.0,14.48,0.48,,,12.03,1.44,2023-08-17 09:15:00,,,,
24.0,30.0,14.32,0.77,,,12.01,1.76,2023-08-17 09:30:00,,,,
24.0,30.0,13.26,4.16,,,12.98,1.56,2023-08-17 09:45:00,,,,
26.04,32.54,13.92,4.06,,,13.49,1.86,2023-08-17 10:00:00,,,,
27.0,33.75,13.81,4.83,,,13.79,1.42,2023-08-17 10:15:00,,,,
27.0,33.75,12.84,6.38,,,13.81,1.68,2023-08-17 10:30:00,,,,
27.0,33.75,12.5,5.47,,,13.06,1.47,2023-08-17 10:45:00,,,,
29.71,37.14,11.66,6.06,,,12.7,1.79,2023-08-17 11:00:00,,,,
31.0,38.75,11.5,5.97,,,12.5,1.6,2023-08-17 11:15:00,,,,
31.0,38.75,11.65,5.92,,,12.63,1.62,2023-08-17 11:30:00,,,,
31.0,38.75,11.64,6.39,,,12.86,1.51,2023-08-17 11:45:00,,,,
35.07,43.84,11.23,6.18,,,12.4,1.41,2023-08-17 12:00:00,,,,
37.0,46.25,11.02,5.26,,,11.75,1.56,2023-08-17 12:15:00,,,,
37.0,46.25,11.15,5.42,,,11.94,1.38,2023-08-17 12:30:00,,,,
37.0,46.25,11.07,5.35,,,11.84,1.34,2023-08-17 12:45:00,,,,
28.86,36.07,11.1,4.71,,,11.54,1.46,2023-08-17 13:00:00,,,,
25.0,31.25,10.75,4.74,,,11.26,1.3,2023-08-17 13:15:00,,,,
25.0,31.25,10.93,4.55,,,11.3,1.6,2023-08-17 13:30:00,,,,
25.0,31.25,11.02,5.12,,,11.68,1.44,2023-08-17 13:45:00,,,,
24.29,30.4,10.72,4.8,,,11.28,1.68,2023-08-17 14:00:00,,,,
24.0,30.0,10.3,4.4,,,10.72,1.06,2023-08-17 14:15:00,,,,
24.0,30.0,10.05,3.67,,,10.13,1.52,2023-08-17 14:30:00,,,,
24.0,30.0,9.45,5.3,,,10.52,1.6,2023-08-17 14:45:00,,,,
40.96,51.21,10.03,6.43,,,11.57,1.15,2023-08-17 15:00:00,,,,
49.0,61.25,10.29,7.4,,,12.28,1.29,2023-08-17 15:15:00,,,,
49.0,61.25,9.99,6.57,,,11.63,1.48,2023-08-17 15:30:00,,,,
49.0,61.25,9.86,5.75,,,11.07,1.21,2023-08-17 15:45:00,,,,
32.04,40.04,10.25,4.58,,,10.78,1.8,2023-08-17 16:00:00,,,,
24.0,30.0,10.5,4.67,,,11.02,1.22,2023-08-17 16:15:00,,,,
24.0,30.0,10.39,5.56,,,11.41,1.71,2023-08-17 16:30:00,,,,
24.0,30.0,10.32,5.94,,,11.54,1.31,2023-08-17 16:45:00,,,,
21.29,26.44,9.96,6.13,,,11.36,1.07,2023-08-17 17:00:00,,,,
20.0,25.0,9.79,5.39,,,10.83,1.37,2023-08-17 17:15:00,,,,
20.0,25.0,9.73,5.67,,,10.93,1.11,2023-08-17 17:30:00,,,,
20.0,25.0,9.87,5.81,,,11.14,1.53,2023-08-17 17:45:00,,,,
20.68,25.83,9.97,5.96,,,11.27,1.66,2023-08-17 18:00:00,,,,
21.0,26.25,10.12,6.27,,,11.56,1.58,2023-08-17 18:15:00,,,,
21.0,26.25,10.25,6.5,,,11.79,1.45,2023-08-17 18:30:00,,,,
21.0,26.25,10.31,5.26,,,11.2,1.53,2023-08-17 18:45:00,,,,
21.7,27.1,9.75,4.29,,,10.22,1.46,2023-08-17 19:00:00,,,,
22.0,27.5,9.66,3.42,,,9.66,1.39,2023-08-17 19:15:00,,,,
22.0,27.5,9.55,3.75,,,9.75,1.63,2023-08-17 19:30:00,,,,
22.0,27.5,9.3,4.44,,,9.92,1.24,2023-08-17 19:45:00,,,,
23.36,29.2,9.41,3.48,,,9.5,1.24,2023-08-17 20:00:00,,,,
24.0,30.0,9.11,3.21,,,9.12,1.52,2023-08-17 20:15:00,,,,
24.0,30.0,9.23,3.72,,,9.48,1.51,2023-08-17 20:30:00,,,,
24.0,30.0,9.23,3.97,,,9.62,1.3,2023-08-17 20:45:00,,,,
19.93,24.91,9.81,2.21,,,9.15,1.24,2023-08-17 21:00:00,,,,
18.0,22.5,9.63,1.84,,,8.8,1.3,2023-08-17 21:15:00,,,,
18.0,22.5,9.07,2.25,,,8.59,1.34,2023-08-17 21:30:00,,,,
18.0,22.5,9.06,1.83,,,8.34,1.38,2023-08-17 21:45:00,,,,
17.31,21.65,8.73,1.34,,,7.81,1.69,2023-08-17 22:00:00,,,,
17.0,21.25,9.01,0.4,,,7.53,1.6,2023-08-17 22:15:00,,,,
17.0,21.25,9.17,0.15,,,7.48,1.32,2023-08-17 22:30:00,,,,
17.0,21.25,8.54,0.62,,,7.24,1.24,2023-08-17 22:45:00,,,,
13.56,17.01,9.08,0.17,,,7.44,1.01,2023-08-17 23:00:00,,,,
12.0,15.0,9.03,0.02,,,7.23,1.45,2023-08-17 23:15:00,,,,
12.0,15.0,9.5,,,,7.51,1.56,2023-08-17 23:30:00,,,,
12.0,15.0,9.41,,,,7.28,1.48,2023-08-17 23:45:00,,,,
13.33,16.73,8.6,0.31,,,7.16,1.44,2023-08-18 00:00:00,,,,
14.0,17.5,9.07,0.12,,,7.31,1.7,2023-08-18 00:15:00,,,,
14.0,17.5,8.88,0.66,,,7.56,1.28,2023-08-18 00:30:00,,,,
14.0,17.5,8.59,0.51,,,7.25,1.41,2023-08-18 00:45:00,,,,
,,8.87,,,,6.99,1.39,2023-08-18 01:00:00,,,,
,,9.28,,,,7.13,1.56,2023-08-18 01:15:00,,,,
,,9.24,,,,6.62,1.43,2023-08-18 01:30:00,,,,
,,8.58,,,,6.57,1.25,2023-08-18 01:45:00,,,,
,14.75,7.91,,,,6.13,1.65,2023-08-18 02:00:00,,,,
13.0,16.25,8.01,,,,6.2,1.22,2023-08-18 02:15:00,,,,
13.0,16.25,9.23,,,,7.09,1.69,2023-08-18 02:30:00,,,,
13.0,16.25,9.51,,,,6.96,1.06,2023-08-18 02:45:00,,,,
13.0,16.25,8.79,,,,6.78,1.49,2023-08-18 03:00:00,,,,
13.0,16.25,8.76,,,,6.71,1.17,2023-08-18 03:15:00,,,,
13.0,16.25,9.52,,,,6.96,1.63,2023-08-18 03:30:00,,,,
13.0,16.25,9.85,,,,7.11,1.65,2023-08-18 03:45:00,,,,
12.31,15.42,,,,,,1.65,2023-08-18 04:00:00,,,,
