pm2.5,pm10,no,no2,so2,co,nox,ozone,at,rh,wd,timestamp,nh3
18.58,46.99,2.9,3.52,13.38,0.38,6.42,5.65,32.96,63.8,151.23,2024-11-05 10:30:00,4.63
17.89,47.31,2.47,6.22,13.64,0.39,8.69,18.24,33.1,63.74,131.01,2024-11-05 10:45:00,6.72
17.76,49.55,2.4,5.36,13.82,0.39,7.76,19.42,33.15,63.86,127.06,2024-11-05 11:00:00,5.25
17.89,52.74,2.63,3.92,13.85,0.39,6.55,16.95,33.01,63.97,126.76,2024-11-05 11:15:00,3.49
17.43,53.69,2.75,4.79,13.64,0.39,7.54,19.96,33.19,63.99,123.15,2024-11-05 11:30:00,4.36
17.6,54.3,2.88,3.6,13.69,0.4,6.47,20.93,33.32,64.02,139.9,2024-11-05 11:45:00,3.16
17.74,54.01,2.74,2.95,13.87,0.4,5.69,20.3,33.29,63.9,152.68,2024-11-05 12:00:00,2.81
17.96,53.56,2.61,2.57,13.64,0.37,5.18,21.28,33.21,63.85,114.15,2024-11-05 12:15:00,3.19
17.97,51.43,2.59,2.13,13.59,0.37,4.72,20.07,32.9,63.84,170.59,2024-11-05 12:30:00,3.41
18.16,49.62,2.4,2.16,13.61,0.35,4.56,22.14,33.4,63.81,146.77,2024-11-05 12:45:00,3.59
18.22,49.16,2.41,2.04,13.64,0.34,4.46,23.52,33.06,63.82,159.79,2024-11-05 13:00:00,3.6
19.39,50.57,2.49,2.08,13.38,0.37,4.57,24.44,33.39,63.93,128.79,2024-11-05 13:15:00,2.48
20.33,52.26,2.72,1.96,13.27,0.4,4.68,23.84,33.87,64.0,121.95,2024-11-05 13:30:00,1.88
20.52,51.93,2.65,1.82,13.71,0.36,4.47,21.33,33.47,63.9,161.74,2024-11-05 13:45:00,2.29
19.36,49.68,2.63,1.78,13.4,0.35,4.4,22.7,33.78,63.83,157.34,2024-11-05 14:00:00,2.82
18.38,47.12,2.46,1.68,13.16,0.33,4.14,22.06,33.21,63.82,155.35,2024-11-05 14:15:00,3.36
17.73,45.09,2.36,1.74,13.39,0.31,4.1,21.79,33.08,63.8,164.9,2024-11-05 14:30:00,3.65
18.23,43.87,2.34,1.55,13.61,0.3,3.89,23.42,33.07,63.79,115.77,2024-11-05 14:45:00,3.76
18.7,42.37,2.43,1.57,13.21,0.3,4.0,19.9,33.45,64.06,170.27,2024-11-05 15:00:00,2.96
19.7,41.92,2.58,1.56,13.33,0.31,4.14,23.62,33.96,63.95,174.86,2024-11-05 15:15:00,2.3
19.51,41.4,2.77,1.35,13.41,0.32,4.12,24.18,34.16,63.96,129.53,2024-11-05 15:30:00,2.04
19.75,40.7,2.8,1.44,12.91,0.36,4.24,21.55,34.25,63.96,78.36,2024-11-05 15:45:00,2.13
19.76,37.97,2.69,1.51,13.48,0.36,4.2,19.81,34.06,63.85,98.79,2024-11-05 16:00:00,3.09
19.43,36.86,2.62,1.64,13.39,0.35,4.26,20.78,33.82,63.83,87.67,2024-11-05 16:15:00,4.09
20.52,37.92,2.56,3.0,13.29,0.33,5.56,24.72,33.96,63.86,119.28,2024-11-05 16:30:00,5.23
22.05,40.34,2.69,2.22,13.0,0.33,4.9,23.93,34.26,63.92,157.95,2024-11-05 16:45:00,3.7
23.36,42.93,2.72,2.04,13.15,0.4,4.76,24.9,34.47,63.96,176.5,2024-11-05 17:00:00,2.87
24.17,44.67,2.74,1.91,13.18,0.42,4.65,23.55,34.48,63.87,176.06,2024-11-05 17:15:00,3.3
24.26,44.55,2.59,2.06,13.29,0.39,4.65,22.39,34.38,63.81,182.6,2024-11-05 17:30:00,4.3
24.7,46.03,2.5,1.85,12.97,0.37,4.36,26.29,34.42,63.82,182.68,2024-11-05 17:45:00,3.76
26.06,52.69,2.5,1.76,13.08,0.39,4.26,28.2,34.47,63.85,126.96,2024-11-05 18:00:00,3.25
27.39,63.09,2.71,1.37,13.13,0.38,4.08,21.5,34.5,63.86,99.76,2024-11-05 18:15:00,2.88
29.3,72.37,2.65,1.62,12.88,0.55,4.26,11.65,34.52,63.88,98.15,2024-11-05 18:30:00,2.8
31.5,79.88,2.64,1.89,12.9,0.45,4.52,20.97,34.52,63.86,182.87,2024-11-05 18:45:00,2.65
33.4,85.73,2.7,1.56,13.5,0.59,4.26,23.98,34.47,63.85,173.83,2024-11-05 19:00:00,2.69
36.14,93.45,2.58,1.96,13.36,0.5,4.54,8.65,34.37,63.83,161.0,2024-11-05 19:15:00,3.34
38.38,97.27,2.57,1.74,13.01,0.45,4.31,9.07,34.32,63.8,173.81,2024-11-05 19:30:00,3.9
39.46,98.21,2.64,1.68,12.9,0.43,4.32,6.14,34.24,63.77,166.95,2024-11-05 19:45:00,4.2
39.76,96.18,2.54,1.93,12.99,0.53,4.47,2.57,34.21,63.74,165.97,2024-11-05 20:00:00,4.25
40.32,94.84,2.65,1.93,12.95,0.46,4.58,9.79,34.31,63.77,177.91,2024-11-05 20:15:00,3.56
40.25,94.53,2.8,1.86,12.65,0.47,4.66,6.65,34.4,63.82,176.04,2024-11-05 20:30:00,3.25
39.52,96.92,2.85,2.06,13.0,0.54,4.91,5.16,34.46,63.86,170.23,2024-11-05 20:45:00,3.09
38.25,100.51,2.92,2.2,13.21,0.51,5.12,8.48,34.49,63.87,169.01,2024-11-05 21:00:00,3.03
37.06,106.58,3.0,2.2,13.36,0.51,5.2,11.81,34.48,63.85,182.81,2024-11-05 21:15:00,3.03
37.11,128.61,2.84,2.35,13.08,0.5,5.2,26.0,34.38,63.81,112.74,2024-11-05 21:30:00,3.49
39.87,161.43,2.76,2.27,13.15,0.51,5.03,11.75,34.32,63.81,165.46,2024-11-05 21:45:00,4.02
43.14,187.94,2.73,2.25,12.84,0.56,4.99,6.75,34.25,63.79,145.89,2024-11-05 22:00:00,4.5
45.92,199.58,2.68,2.64,13.08,0.58,5.32,5.67,34.19,63.76,138.68,2024-11-05 22:15:00,4.71
48.45,201.19,2.87,2.52,13.33,0.54,5.39,5.25,34.3,63.79,131.83,2024-11-05 22:30:00,4.46
49.84,196.05,2.99,2.44,12.82,0.46,5.43,6.63,34.4,63.83,160.02,2024-11-05 22:45:00,3.98
50.17,187.92,3.04,2.42,13.14,0.43,5.46,9.79,34.46,63.87,147.13,2024-11-05 23:00:00,3.6
49.73,176.9,3.05,2.5,13.17,0.41,5.55,9.25,34.5,63.9,150.72,2024-11-05 23:15:00,3.41
49.05,164.6,3.04,2.43,12.95,0.41,5.47,9.76,34.49,63.88,139.38,2024-11-05 23:30:00,3.39
46.89,151.21,2.97,2.29,13.28,0.38,5.26,13.52,34.38,63.8,155.05,2024-11-05 23:45:00,3.62
42.89,136.66,2.89,2.2,12.89,0.36,5.09,13.46,34.3,63.8,176.82,2024-11-06 00:00:00,3.93
39.73,122.92,2.81,2.33,13.15,0.4,5.14,13.66,34.24,63.79,182.39,2024-11-06 00:15:00,4.24
37.61,111.84,2.84,2.16,13.03,0.4,5.0,10.15,34.18,63.75,182.15,2024-11-06 00:30:00,4.59
36.51,104.84,2.76,2.37,13.07,0.4,5.12,8.93,34.19,63.73,177.37,2024-11-06 00:45:00,4.39
36.38,102.04,2.83,2.49,12.95,0.4,5.33,9.66,34.3,63.77,182.42,2024-11-06 01:00:00,3.78
37.06,101.97,2.95,2.43,12.98,0.42,5.38,10.26,34.39,63.81,178.49,2024-11-06 01:15:00,3.42
38.02,102.35,3.03,2.44,13.08,0.45,5.47,5.76,34.46,63.85,158.38,2024-11-06 01:30:00,3.15
37.67,101.0,2.97,2.46,12.9,0.42,5.43,6.26,34.47,63.86,168.54,2024-11-06 01:45:00,3.12
36.03,97.64,3.0,2.16,13.16,0.44,5.15,7.6,34.37,63.81,167.98,2024-11-06 02:00:00,3.41
33.88,93.02,2.88,2.35,13.21,0.41,5.23,4.15,34.31,63.8,167.69,2024-11-06 02:15:00,3.63
32.52,88.08,2.8,2.46,12.86,0.4,5.26,5.91,34.25,63.79,137.06,2024-11-06 02:30:00,4.05
34.03,84.33,2.81,2.21,12.85,0.39,5.02,6.49,34.19,63.75,168.02,2024-11-06 02:45:00,4.28
36.95,82.64,2.68,2.22,12.87,0.39,4.89,6.23,34.16,63.73,168.3,2024-11-06 03:00:00,4.28
40.19,82.8,2.76,2.23,13.07,0.41,4.99,3.12,34.23,63.75,103.16,2024-11-06 03:15:00,3.84
42.53,82.36,2.91,2.23,12.77,0.43,5.14,0.82,34.34,63.79,85.05,2024-11-06 03:30:00,3.42
42.67,82.53,3.05,2.44,12.71,0.46,5.49,0.46,34.43,63.83,89.3,2024-11-06 03:45:00,3.49
42.29,81.39,3.27,2.58,13.01,0.43,5.84,0.51,34.48,63.87,113.09,2024-11-06 04:00:00,3.54
40.94,79.92,3.26,2.8,12.92,0.4,6.06,0.53,34.41,63.83,108.75,2024-11-06 04:15:00,3.88
40.15,76.76,3.18,2.76,12.99,0.4,5.94,1.25,34.34,63.83,111.76,2024-11-06 04:30:00,4.27
39.3,72.97,3.06,3.01,12.76,0.4,6.07,0.61,34.28,63.82,108.06,2024-11-06 04:45:00,4.55
38.92,68.74,3.04,2.88,12.76,0.41,5.92,0.23,34.22,63.79,93.54,2024-11-06 05:00:00,4.94
38.6,67.54,3.07,2.84,12.91,0.41,5.91,0.08,34.19,63.78,68.06,2024-11-06 05:15:00,5.13
37.41,66.57,3.08,3.1,12.61,0.41,6.19,0.22,34.16,63.79,60.28,2024-11-06 05:30:00,5.37
35.98,65.54,3.18,3.12,12.97,0.43,6.31,0.7,34.22,63.78,61.15,2024-11-06 05:45:00,5.08
35.54,66.46,3.35,3.13,12.72,0.46,6.48,0.41,34.34,63.83,52.35,2024-11-06 06:00:00,4.65
35.18,65.8,3.45,3.19,12.85,0.49,6.64,0.36,34.43,63.88,56.18,2024-11-06 06:15:00,4.56
34.89,63.84,3.53,3.34,12.86,0.48,6.87,0.38,34.4,63.86,53.46,2024-11-06 06:30:00,4.59
34.48,61.87,3.45,3.54,13.12,0.49,6.99,0.29,34.29,63.85,61.11,2024-11-06 06:45:00,5.14
33.62,60.58,3.43,3.36,13.32,0.49,6.79,0.36,34.15,63.85,50.53,2024-11-06 07:00:00,5.55
33.15,62.48,3.38,3.57,12.97,0.46,6.95,1.05,34.04,63.83,65.42,2024-11-06 07:15:00,5.92
33.93,63.94,3.29,3.57,12.76,0.48,6.86,1.39,33.89,63.8,99.1,2024-11-06 07:30:00,6.12
34.95,62.65,3.19,3.76,12.79,0.47,6.95,2.47,33.75,63.78,86.2,2024-11-06 07:45:00,6.13
35.18,64.07,3.31,3.69,12.7,0.45,7.0,5.0,33.72,63.78,75.65,2024-11-06 08:00:00,5.65
36.22,66.18,3.46,3.37,12.79,0.45,6.83,6.97,33.74,63.83,62.74,2024-11-06 08:15:00,5.21
37.38,65.55,3.45,3.42,13.1,0.46,6.87,9.31,33.72,63.86,93.15,2024-11-06 08:30:00,4.97
37.83,63.27,3.54,3.32,12.71,0.46,6.86,12.83,33.64,63.87,85.43,2024-11-06 08:45:00,4.75
37.28,62.29,3.49,3.37,13.2,0.46,6.86,14.73,33.56,63.88,124.5,2024-11-06 09:00:00,4.52
36.91,58.67,3.46,3.3,13.02,0.46,6.76,15.24,33.46,63.89,68.57,2024-11-06 09:15:00,4.52
36.36,53.98,3.26,3.62,13.01,0.45,6.88,18.95,33.24,63.86,98.77,2024-11-06 09:30:00,4.97
36.66,50.4,2.99,3.5,12.96,0.44,6.49,21.43,33.09,63.83,102.79,2024-11-06 09:45:00,5.19
37.04,49.62,2.93,2.93,13.15,0.42,5.86,22.2,32.97,63.81,76.74,2024-11-06 10:00:00,5.35
37.2,51.36,2.92,2.96,12.99,0.41,5.89,23.48,32.9,63.79,103.89,2024-11-06 10:15:00,5.21
37.54,56.29,3.05,2.87,12.57,0.41,5.93,23.32,33.03,63.89,92.12,2024-11-06 10:30:00,4.14
37.44,61.91,3.21,2.57,12.88,0.44,5.77,24.23,33.16,63.97,117.01,2024-11-06 10:45:00,3.59
37.32,65.82,3.13,2.74,13.06,0.46,5.87,24.67,33.16,64.0,114.68,2024-11-06 11:00:00,3.29
37.16,67.14,3.19,2.59,13.04,0.44,5.78,25.49,33.28,63.94,100.26,2024-11-06 11:15:00,3.45
36.34,67.78,3.14,2.43,13.03,0.47,5.57,22.26,33.18,63.94,119.28,2024-11-06 11:30:00,3.48
36.85,69.85,3.11,2.38,13.0,0.45,5.5,26.25,33.22,63.96,139.52,2024-11-06 11:45:00,3.2
36.86,71.18,2.93,3.08,13.31,0.46,6.01,26.06,33.16,63.97,124.07,2024-11-06 12:00:00,3.93
37.47,71.52,2.89,2.41,13.06,0.46,5.3,27.25,33.15,63.99,121.74,2024-11-06 12:15:00,3.16
38.0,70.12,2.77,2.36,13.34,0.44,5.13,29.77,33.45,63.9,140.99,2024-11-06 12:30:00,3.8
37.8,66.41,2.75,2.61,13.05,0.44,5.36,29.87,33.32,63.86,107.69,2024-11-06 12:45:00,4.84
38.3,64.61,2.69,3.66,13.01,0.39,6.35,29.72,33.05,64.19,117.72,2024-11-06 13:00:00,4.94
39.07,64.94,2.75,2.74,13.21,0.42,5.49,29.31,33.3,63.95,117.93,2024-11-06 13:15:00,3.66
39.67,64.75,2.81,2.38,12.96,0.44,5.19,28.05,33.3,63.97,138.18,2024-11-06 13:30:00,3.19
40.39,63.66,2.76,2.16,13.17,0.42,4.92,29.94,33.31,64.04,128.43,2024-11-06 13:45:00,3.59
40.67,61.5,2.56,2.06,13.06,0.4,4.62,30.85,33.09,63.82,129.44,2024-11-06 14:00:00,4.01
40.91,60.05,2.36,1.96,12.75,0.41,4.33,29.74,33.15,63.85,134.93,2024-11-06 14:15:00,4.56
41.8,60.21,2.53,1.78,12.83,0.39,4.31,29.09,33.08,63.63,141.81,2024-11-06 14:30:00,4.76
42.89,60.61,2.26,2.21,12.72,0.37,4.48,30.94,33.17,63.49,143.96,2024-11-06 14:45:00,4.7
44.22,62.05,2.56,2.83,13.02,0.38,5.39,35.41,33.41,63.31,139.21,2024-11-06 15:00:00,5.14
45.89,65.94,2.56,3.35,13.04,0.36,5.91,45.35,33.57,63.31,149.11,2024-11-06 15:15:00,5.62
46.4,67.87,2.58,3.04,13.03,0.35,5.62,41.65,33.77,62.59,145.38,2024-11-06 15:30:00,4.49
46.93,68.29,2.63,2.58,13.57,0.36,5.21,38.13,33.99,64.0,157.12,2024-11-06 15:45:00,3.34
47.36,69.68,2.68,2.23,12.93,0.39,4.91,34.21,34.03,62.8,174.14,2024-11-06 16:00:00,3.64
46.82,71.68,2.56,2.13,13.15,0.38,4.69,38.51,33.95,59.18,130.61,2024-11-06 16:15:00,4.4
46.26,73.79,2.51,1.78,12.92,0.37,4.29,34.63,33.96,60.43,159.1,2024-11-06 16:30:00,4.96
46.82,76.2,2.43,1.92,12.97,0.37,4.35,35.44,34.0,60.95,147.0,2024-11-06 16:45:00,5.25
48.53,79.4,2.55,3.61,13.07,0.37,6.16,38.61,34.23,61.93,168.73,2024-11-06 17:00:00,5.96
50.1,84.75,2.71,3.15,12.86,0.4,5.86,31.26,34.54,64.09,151.65,2024-11-06 17:15:00,4.63
51.08,91.01,2.73,5.04,12.85,0.44,7.77,44.66,34.53,63.92,81.09,2024-11-06 17:30:00,7.84
51.29,95.96,2.62,3.81,12.81,0.43,6.43,39.62,34.42,63.84,153.86,2024-11-06 17:45:00,6.55
51.76,99.25,2.53,3.01,13.19,0.42,5.54,34.84,34.41,63.82,175.67,2024-11-06 18:00:00,5.2
51.81,102.35,2.55,2.55,13.05,0.44,5.1,29.69,34.43,63.84,151.26,2024-11-06 18:15:00,4.3
52.83,105.35,2.55,2.08,13.1,0.51,4.63,28.74,34.44,63.84,182.74,2024-11-06 18:30:00,3.74
54.68,109.39,2.5,1.87,13.23,0.56,4.37,25.16,34.46,63.85,182.79,2024-11-06 18:45:00,3.32
58.13,113.66,2.52,1.73,13.01,0.55,4.24,30.84,34.47,63.86,180.8,2024-11-06 19:00:00,3.13
62.66,121.22,2.65,1.29,12.88,0.47,3.94,30.94,34.48,63.87,182.83,2024-11-06 19:15:00,2.93
67.95,128.87,2.57,1.32,12.87,0.51,3.89,23.6,34.49,63.87,182.85,2024-11-06 19:30:00,2.9
72.34,136.98,2.58,1.36,13.01,0.52,3.93,26.92,34.52,63.9,177.07,2024-11-06 19:45:00,2.72
75.31,142.87,2.6,1.31,13.15,0.53,3.91,27.79,34.52,63.9,182.99,2024-11-06 20:00:00,2.6
76.57,146.53,2.58,1.25,12.77,0.48,3.83,31.25,34.53,63.91,182.99,2024-11-06 20:15:00,2.53
76.29,150.75,2.72,1.25,12.97,0.66,3.97,17.64,34.53,63.9,155.41,2024-11-06 20:30:00,2.67
76.13,158.26,2.81,2.3,12.65,1.12,5.11,2.52,34.53,63.91,118.91,2024-11-06 20:45:00,3.55
77.33,165.05,2.97,2.81,13.21,0.8,5.79,13.37,34.54,63.91,130.57,2024-11-06 21:00:00,4.31
77.61,171.15,2.96,2.8,12.68,0.71,5.76,10.42,34.53,63.91,115.96,2024-11-06 21:15:00,4.22
76.69,173.91,2.98,2.78,13.11,0.61,5.76,15.71,34.54,63.92,128.25,2024-11-06 21:30:00,4.16
74.52,171.51,2.94,2.73,12.78,0.61,5.67,8.88,34.44,63.85,142.35,2024-11-06 21:45:00,4.36
72.85,167.5,2.96,2.52,13.09,0.56,5.47,11.65,34.33,63.82,152.32,2024-11-06 22:00:00,4.87
71.0,162.57,2.79,2.61,12.72,0.53,5.41,12.25,34.25,63.79,163.9,2024-11-06 22:15:00,5.11
69.66,155.85,2.6,2.52,12.94,0.52,5.12,10.76,34.2,63.76,159.55,2024-11-06 22:30:00,5.27
68.47,149.88,2.81,2.28,12.59,0.53,5.09,11.5,34.3,63.79,158.9,2024-11-06 22:45:00,4.43
67.22,144.38,2.73,2.4,12.94,0.5,5.12,14.44,34.39,63.83,162.62,2024-11-06 23:00:00,3.93
65.64,136.64,2.89,2.17,12.9,0.47,5.05,17.43,34.42,63.84,158.86,2024-11-06 23:15:00,3.57
63.78,128.38,2.87,2.16,13.03,0.46,5.03,19.67,34.47,63.88,162.96,2024-11-06 23:30:00,3.32
61.6,120.5,2.84,2.09,13.25,0.48,4.94,18.3,34.49,63.89,138.42,2024-11-06 23:45:00,3.11
59.68,113.4,2.9,2.12,12.95,0.49,5.02,13.27,34.51,63.9,133.09,2024-11-07 00:00:00,3.1
57.01,108.23,2.86,2.23,12.89,0.47,5.09,15.25,34.46,63.86,140.67,2024-11-07 00:15:00,3.22
54.06,103.28,2.77,2.2,12.56,0.48,4.97,10.86,34.34,63.82,126.96,2024-11-07 00:30:00,3.65
51.29,97.89,2.63,2.18,12.86,0.46,4.81,9.56,34.27,63.81,109.73,2024-11-07 00:45:00,4.03
49.26,94.1,2.71,1.88,12.7,0.44,4.58,15.3,34.2,63.78,114.31,2024-11-07 01:00:00,4.49
47.72,89.37,2.62,1.98,12.86,0.44,4.6,17.86,34.2,63.76,124.29,2024-11-07 01:15:00,4.14
47.41,89.56,2.57,2.16,13.03,0.44,4.72,13.74,34.31,63.79,133.83,2024-11-07 01:30:00,3.46
46.97,90.14,2.82,1.85,12.87,0.47,4.67,14.71,34.38,63.82,128.57,2024-11-07 01:45:00,3.09
45.81,89.67,2.76,2.07,12.77,0.48,4.83,6.92,34.43,63.83,119.26,2024-11-07 02:00:00,2.88
44.67,89.18,2.79,2.03,12.87,0.49,4.82,7.56,34.46,63.87,126.81,2024-11-07 02:15:00,2.91
43.78,90.47,2.81,1.92,12.96,0.5,4.73,7.81,34.46,63.87,101.81,2024-11-07 02:30:00,2.95
42.38,90.2,2.75,2.26,13.07,0.5,5.0,1.08,34.34,63.82,121.28,2024-11-07 02:45:00,3.37
40.14,89.95,2.71,2.2,12.88,0.48,4.91,2.56,34.27,63.81,114.01,2024-11-07 03:00:00,3.93
39.85,90.03,2.68,2.25,12.91,0.48,4.93,0.3,34.2,63.79,101.01,2024-11-07 03:15:00,4.38
39.93,91.88,2.68,2.61,12.75,0.47,5.3,0.25,34.15,63.75,102.54,2024-11-07 03:30:00,4.9
41.88,95.08,2.74,2.67,12.88,0.47,5.41,1.35,34.2,63.76,109.03,2024-11-07 03:45:00,4.68
44.53,99.23,2.91,2.71,12.74,0.47,5.62,0.35,34.32,63.81,109.79,2024-11-07 04:00:00,4.15
45.9,102.81,3.06,2.77,12.66,0.5,5.83,0.27,34.41,63.85,74.67,2024-11-07 04:15:00,3.95
46.34,105.75,3.23,2.57,12.99,0.51,5.8,0.43,34.46,63.88,61.18,2024-11-07 04:30:00,4.06
46.57,105.81,3.23,2.93,12.95,0.5,6.16,1.11,34.47,63.88,97.38,2024-11-07 04:45:00,4.06
46.62,105.11,3.18,2.91,12.93,0.52,6.1,0.28,34.36,63.83,131.2,2024-11-07 05:00:00,4.53
47.06,103.95,3.17,2.76,12.74,0.52,5.93,1.04,34.3,63.81,131.75,2024-11-07 05:15:00,5.0
48.13,100.68,3.03,2.93,12.8,0.53,5.97,0.82,34.23,63.79,105.78,2024-11-07 05:30:00,5.36
50.08,102.01,3.11,2.89,12.89,0.55,6.0,0.02,34.18,63.77,114.3,2024-11-07 05:45:00,5.73
53.22,106.62,3.03,3.28,12.18,0.55,6.31,,34.16,63.76,109.41,2024-11-07 06:00:00,5.96
55.29,109.18,3.24,3.52,13.02,0.54,6.76,0.06,34.26,63.77,123.51,2024-11-07 06:15:00,5.58
55.32,111.78,3.4,3.46,12.64,0.6,6.86,0.19,34.34,63.81,144.91,2024-11-07 06:30:00,5.39
55.39,112.14,3.6,3.47,13.03,0.59,7.08,0.5,34.4,63.85,127.57,2024-11-07 06:45:00,5.34
54.56,114.05,3.59,3.69,12.9,0.63,7.28,1.23,34.42,63.88,118.84,2024-11-07 07:00:00,5.33
53.99,114.22,3.67,3.65,12.88,0.6,7.33,1.6,34.33,63.86,121.4,2024-11-07 07:15:00,5.7
53.61,114.3,3.61,3.79,12.89,0.66,7.4,1.63,34.2,63.84,121.38,2024-11-07 07:30:00,6.07
52.1,114.81,3.58,3.67,12.95,0.66,7.25,2.38,34.12,63.83,123.22,2024-11-07 07:45:00,6.46
51.75,114.16,3.44,3.78,12.81,0.68,7.22,3.62,34.06,63.8,121.8,2024-11-07 08:00:00,6.93
53.79,115.34,3.4,3.95,12.87,0.69,7.35,5.73,33.93,63.77,112.93,2024-11-07 08:15:00,7.15
56.92,116.55,3.47,4.03,12.67,0.6,7.5,7.25,33.8,63.8,106.38,2024-11-07 08:30:00,6.58
58.7,115.96,3.6,3.98,13.07,0.57,7.57,7.45,33.73,63.85,108.76,2024-11-07 08:45:00,6.2
59.61,113.36,3.63,3.78,12.98,0.54,7.41,10.34,33.87,63.86,129.41,2024-11-07 09:00:00,5.99
59.46,111.11,3.68,3.95,13.08,0.55,7.63,12.37,33.72,63.92,120.12,2024-11-07 09:15:00,5.75
57.53,110.31,3.57,5.28,12.9,0.55,8.86,14.63,33.6,64.03,134.21,2024-11-07 09:30:00,7.1
55.4,104.37,2.25,6.98,12.83,0.5,9.24,19.8,33.93,64.12,111.11,2024-11-07 09:45:00,12.45
53.56,94.93,1.57,6.31,12.72,0.49,7.88,20.2,33.45,64.02,133.91,2024-11-07 10:00:00,13.57
54.42,88.98,1.29,6.14,12.72,0.43,7.42,21.03,33.49,63.93,156.02,2024-11-07 10:15:00,14.05
55.41,85.53,1.51,4.74,12.28,0.4,6.24,19.23,33.08,63.87,120.8,2024-11-07 10:30:00,13.35
55.99,84.81,2.12,5.74,12.69,0.4,7.86,21.1,33.08,63.84,148.02,2024-11-07 10:45:00,13.49
58.79,88.43,1.59,4.78,12.29,0.33,6.37,23.83,33.87,64.0,138.63,2024-11-07 11:00:00,7.77
60.11,91.87,1.44,3.65,12.63,0.34,5.1,24.54,33.45,64.1,132.97,2024-11-07 11:15:00,4.52
55.81,91.41,1.64,2.83,12.88,0.39,4.46,24.75,33.68,64.09,133.24,2024-11-07 11:30:00,3.45
47.83,87.16,1.38,2.28,12.56,0.42,3.66,23.16,33.66,64.09,143.91,2024-11-07 11:45:00,3.69
39.11,80.15,1.16,2.48,12.72,0.43,3.63,24.26,33.84,64.08,132.37,2024-11-07 12:00:00,4.9
31.67,78.14,1.08,3.92,12.68,0.41,4.99,27.63,33.26,64.07,129.01,2024-11-07 12:15:00,6.56
27.66,72.03,0.97,3.02,12.71,0.38,3.99,24.86,34.32,64.07,129.12,2024-11-07 12:30:00,6.09
26.61,64.39,1.09,2.41,12.82,0.39,3.5,20.76,34.44,64.07,126.36,2024-11-07 12:45:00,6.08
24.82,59.31,1.11,2.3,12.67,0.37,3.41,26.53,34.36,64.06,131.52,2024-11-07 13:00:00,5.92
23.72,56.97,1.1,2.13,12.63,0.36,3.24,28.39,34.25,64.05,127.79,2024-11-07 13:15:00,5.89
23.73,56.7,1.16,2.05,12.5,0.37,3.21,24.69,34.16,64.05,123.19,2024-11-07 13:30:00,5.84
23.98,57.58,1.11,2.37,13.0,0.36,3.48,23.72,34.22,63.99,128.89,2024-11-07 13:45:00,5.89
24.92,59.07,1.59,2.01,12.52,0.42,3.6,20.26,33.93,63.69,131.34,2024-11-07 14:00:00,5.14
27.61,62.94,1.78,2.26,12.82,0.45,4.04,13.75,33.91,63.67,155.92,2024-11-07 14:15:00,4.32
29.24,65.86,2.01,2.12,12.69,0.45,4.13,12.12,33.97,63.71,168.83,2024-11-07 14:30:00,3.92
31.05,67.32,2.21,2.03,12.47,0.46,4.24,15.47,34.08,63.75,178.38,2024-11-07 14:45:00,3.74
32.37,68.79,2.44,2.05,12.89,0.53,4.49,15.66,34.12,63.77,169.35,2024-11-07 15:00:00,4.05
34.76,72.27,2.63,2.15,12.97,0.68,4.78,13.05,34.04,63.77,176.01,2024-11-07 15:15:00,4.21
37.31,76.78,2.68,2.0,12.75,0.65,4.68,11.3,34.04,63.77,147.42,2024-11-07 15:30:00,4.35
40.59,82.86,2.77,2.28,13.01,0.62,5.05,12.88,34.06,63.77,170.84,2024-11-07 15:45:00,5.27
44.05,87.85,2.76,6.37,12.95,0.54,9.12,19.69,34.05,63.72,155.67,2024-11-07 16:00:00,9.63
46.64,90.59,2.73,4.53,13.07,0.5,7.26,19.02,34.04,63.74,139.06,2024-11-07 16:15:00,7.35
47.87,91.0,2.68,4.66,12.87,0.5,7.34,19.17,34.09,63.88,109.43,2024-11-07 16:30:00,7.73
47.54,90.56,2.34,3.97,12.87,0.43,6.31,19.03,34.39,64.03,170.88,2024-11-07 16:45:00,6.87
44.74,87.49,1.85,2.97,12.83,0.39,4.82,16.14,34.66,64.07,162.2,2024-11-07 17:00:00,6.2
40.87,82.57,1.55,2.39,12.9,0.45,3.95,10.63,34.72,64.06,145.35,2024-11-07 17:15:00,6.44
36.84,78.28,1.39,3.89,12.9,0.5,5.29,4.13,34.77,64.09,160.34,2024-11-07 17:30:00,7.81
33.91,76.17,1.49,3.19,12.8,0.5,4.68,2.07,34.82,64.1,180.51,2024-11-07 17:45:00,6.32
28.05,76.86,1.53,2.75,13.03,0.48,4.28,3.71,34.85,64.11,179.09,2024-11-07 18:00:00,5.51
24.3,88.2,1.71,2.39,12.63,0.73,4.1,2.12,34.89,64.13,124.66,2024-11-07 18:15:00,5.11
24.11,97.65,1.87,3.0,12.69,0.99,4.87,0.58,34.91,64.14,105.16,2024-11-07 18:30:00,5.66
24.92,105.35,2.05,3.61,12.66,0.67,5.66,0.17,34.92,64.14,121.8,2024-11-07 18:45:00,6.33
26.73,110.58,2.24,3.93,12.78,0.62,6.18,0.4,34.92,64.14,141.37,2024-11-07 19:00:00,6.86
26.68,112.53,2.49,4.07,12.78,0.64,6.56,1.83,34.91,64.14,134.11,2024-11-07 19:15:00,7.18
