pm2.5,pm10,no,no2,so2,co,nox,at,rh,ws,wd,bp,timestamp,nh3
56.66,121.0,5.77,4.05,4.31,,4.74,24.25,85.74,1.34,132.07,1008.09,2023-12-21 08:15:00,11.69
56.66,121.0,5.66,4.01,4.14,,4.61,24.51,84.75,1.59,90.39,1008.21,2023-12-21 08:30:00,11.7
56.66,121.0,5.62,4.14,4.09,,4.7,24.0,86.94,1.39,129.51,1008.37,2023-12-21 08:45:00,11.69
53.7,114.56,5.66,3.97,4.17,,4.61,23.52,89.52,1.11,116.27,1008.52,2023-12-21 09:00:00,11.71
52.06,111.0,5.69,3.96,4.19,,4.59,23.36,90.79,0.81,237.87,1008.55,2023-12-21 09:15:00,11.71
52.06,111.0,5.75,3.91,4.19,,4.6,23.35,91.07,0.82,171.27,1008.56,2023-12-21 09:30:00,11.71
52.06,111.0,5.56,4.09,4.18,,4.63,23.44,90.79,0.75,235.21,1008.5,2023-12-21 09:45:00,11.7
47.24,100.51,5.59,4.08,4.36,,4.62,23.47,90.83,0.68,179.27,1008.42,2023-12-21 10:00:00,11.7
44.7,95.0,5.65,3.97,3.99,,4.6,23.44,91.37,0.67,225.21,1008.25,2023-12-21 10:15:00,11.71
44.7,95.0,5.59,4.13,4.2,,4.68,23.44,91.81,0.59,255.45,1008.13,2023-12-21 10:30:00,11.7
44.7,95.0,5.64,4.07,4.39,,4.65,23.48,91.84,0.59,239.78,1008.05,2023-12-21 10:45:00,11.7
55.74,119.0,5.66,4.22,4.26,,4.8,28.97,63.14,1.54,58.65,1007.71,2023-12-22 11:15:00,11.69
55.74,119.0,5.67,4.09,4.26,,4.7,29.3,62.35,1.76,107.08,1007.5,2023-12-22 11:30:00,11.7
55.74,119.0,5.73,4.03,4.42,,4.7,28.94,62.86,1.62,67.38,1007.28,2023-12-22 11:45:00,11.7
54.55,116.38,5.89,3.93,4.32,,4.73,28.98,62.79,1.63,114.11,1007.07,2023-12-22 12:00:00,11.7
53.9,115.0,5.8,4.14,4.26,,4.83,29.48,61.59,1.42,94.46,1006.76,2023-12-22 12:15:00,11.69
53.9,115.0,5.81,4.12,4.47,,4.8,29.8,60.15,1.73,78.93,1006.44,2023-12-22 12:30:00,11.69
53.9,115.0,5.96,4.07,4.31,,4.88,30.01,59.84,1.56,90.03,1006.16,2023-12-22 12:45:00,11.68
54.2,115.64,5.91,4.07,4.47,,4.88,30.34,58.78,1.6,77.33,1005.9,2023-12-22 13:00:00,11.69
54.36,116.0,5.94,4.0,4.32,,4.82,30.13,58.69,1.42,113.19,1005.68,2023-12-22 13:15:00,11.69
54.36,116.0,5.94,4.02,4.32,,4.89,29.89,59.03,1.91,62.2,1005.42,2023-12-22 13:30:00,11.69
54.36,116.0,5.93,4.13,4.47,,4.93,29.89,59.92,1.88,83.54,1005.17,2023-12-22 13:45:00,11.69
53.17,113.38,5.9,4.09,4.62,,4.88,30.17,58.82,1.63,78.28,1004.95,2023-12-22 14:00:00,11.69
52.52,112.0,5.9,4.12,4.18,,4.87,30.33,57.81,1.71,90.28,1004.66,2023-12-22 14:15:00,11.69
52.52,112.0,5.9,4.15,4.36,,4.93,30.13,58.65,1.44,70.08,1004.48,2023-12-22 14:30:00,11.68
52.52,112.0,5.91,4.03,4.4,,4.87,30.02,58.63,1.8,57.98,1004.28,2023-12-22 14:45:00,11.69
51.04,108.72,5.97,4.0,4.57,,4.89,30.49,58.28,1.32,97.53,1004.09,2023-12-22 15:00:00,11.68
50.22,107.0,6.03,4.07,4.66,,4.95,30.57,57.76,1.48,83.31,1003.94,2023-12-22 15:15:00,11.68
50.22,107.0,6.01,4.06,4.52,,4.92,30.3,57.39,1.49,105.27,1004.02,2023-12-22 15:30:00,11.69
50.22,107.0,6.03,4.0,4.14,,4.9,29.61,58.65,1.56,71.81,1004.02,2023-12-22 15:45:00,11.68
