pm2.5,pm10,no,no2,so2,nox,timestamp
,66.56,11.15,6.45,5.47,11.17,2023-03-15 18:15:00
,66.56,10.93,6.29,9.17,10.93,2023-03-15 18:30:00
,66.56,12.63,6.63,11.28,12.32,2023-03-15 18:45:00
,84.77,12.12,6.26,8.78,11.78,2023-03-15 19:00:00
,89.74,12.36,6.76,11.64,12.2,2023-03-15 19:15:00
,89.74,13.1,5.85,8.31,12.3,2023-03-15 19:30:00
,89.74,14.53,6.41,10.24,13.61,2023-03-15 19:45:00
,151.99,13.64,6.73,9.96,13.11,2023-03-15 20:00:00
,176.89,13.4,6.0,9.47,12.58,2023-03-15 20:15:00
,176.89,12.46,6.06,6.78,11.94,2023-03-15 20:30:00
,176.89,12.0,7.22,5.03,12.15,2023-03-15 20:45:00
,175.45,12.29,5.99,6.66,11.17,2023-03-15 21:00:00
,175.06,11.29,6.15,11.13,11.13,2023-03-15 21:15:00
,175.06,11.67,6.72,7.01,11.67,2023-03-15 21:30:00
,175.06,11.25,6.72,8.71,11.37,2023-03-15 21:45:00
,128.11,13.05,6.28,9.19,12.47,2023-03-15 22:00:00
,115.31,12.95,5.95,12.09,12.24,2023-03-15 22:15:00
,115.31,13.23,7.0,9.66,12.94,2023-03-15 22:30:00
,115.31,15.35,5.47,10.09,13.75,2023-03-15 22:45:00
,151.6,13.14,6.43,12.06,12.6,2023-03-15 23:00:00
,161.5,11.51,6.77,5.39,11.58,2023-03-15 23:15:00
,161.5,12.17,6.93,6.47,12.14,2023-03-15 23:30:00
,161.5,12.09,6.63,4.43,11.93,2023-03-15 23:45:00
,157.66,12.66,6.27,12.02,12.18,2023-03-16 00:00:00
,156.13,11.62,6.78,13.08,11.66,2023-03-16 00:15:00
,156.13,12.44,6.79,9.65,12.84,2023-03-16 00:30:00
,156.13,12.27,6.45,10.02,11.98,2023-03-16 00:45:00
,101.96,11.41,6.44,13.61,11.35,2023-03-16 01:00:00
,87.18,14.6,6.97,9.66,13.92,2023-03-16 01:15:00
,87.18,11.92,6.4,7.1,12.2,2023-03-16 01:30:00
,87.18,10.51,6.38,5.13,11.1,2023-03-16 01:45:00
,63.06,11.28,6.52,10.98,11.29,2023-03-16 02:00:00
,56.48,12.39,6.85,5.29,12.26,2023-03-16 02:15:00
,56.48,11.73,7.05,5.64,11.87,2023-03-16 02:30:00
,56.48,12.52,6.7,6.83,12.28,2023-03-16 02:45:00
,67.28,9.99,6.29,7.69,10.24,2023-03-16 03:00:00
,72.68,14.17,6.13,7.75,13.21,2023-03-16 03:15:00
,72.68,11.65,7.14,5.87,11.86,2023-03-16 03:30:00
,72.68,12.77,6.63,10.95,12.94,2023-03-16 03:45:00
,75.01,14.15,6.61,12.59,12.87,2023-03-16 04:00:00
,75.64,12.1,5.72,6.3,11.52,2023-03-16 04:15:00
,75.64,9.09,6.36,4.09,9.62,2023-03-16 04:30:00
,75.64,11.96,6.67,12.79,11.86,2023-03-16 04:45:00
,58.05,10.64,6.38,9.43,10.76,2023-03-16 05:00:00
,52.77,11.6,6.68,12.18,11.6,2023-03-16 05:15:00
,52.77,10.48,6.74,13.3,10.81,2023-03-16 05:30:00
,52.77,12.61,6.64,11.96,12.32,2023-03-16 05:45:00
,52.77,12.22,6.04,6.76,11.75,2023-03-16 06:00:00
,52.77,11.46,7.2,11.94,11.75,2023-03-16 06:15:00
,52.77,13.03,6.88,10.03,12.73,2023-03-16 06:30:00
,52.77,13.18,6.74,10.96,12.78,2023-03-16 06:45:00
,46.78,13.15,6.2,8.66,12.5,2023-03-16 07:00:00
,44.38,14.23,6.17,7.27,13.27,2023-03-16 07:15:00
,44.38,12.23,6.38,7.95,11.92,2023-03-16 07:30:00
,44.38,11.83,6.43,5.73,11.67,2023-03-16 07:45:00
,41.64,11.97,6.57,8.88,11.82,2023-03-16 08:00:00
,40.89,12.57,6.88,11.79,12.41,2023-03-16 08:15:00
,40.89,10.25,6.66,9.52,10.61,2023-03-16 08:30:00
,40.89,10.79,5.97,8.93,10.68,2023-03-16 08:45:00
,47.25,12.68,6.45,7.71,12.28,2023-03-16 09:00:00
,49.37,13.85,6.32,10.44,13.07,2023-03-16 09:15:00
,49.37,13.68,6.31,11.82,12.94,2023-03-16 09:30:00
,49.37,11.73,6.69,9.25,11.7,2023-03-16 09:45:00
,37.14,11.64,6.59,6.61,11.59,2023-03-16 10:00:00
,32.25,12.87,6.47,9.05,12.42,2023-03-16 10:15:00
,32.25,11.64,7.01,11.8,11.79,2023-03-16 10:30:00
,32.25,12.17,6.67,8.62,12.01,2023-03-16 10:45:00
,25.49,11.45,6.9,7.18,10.95,2023-03-16 11:00:00
,23.65,11.21,7.23,8.58,11.58,2023-03-16 11:15:00
,23.65,13.95,7.13,10.23,13.57,2023-03-16 11:30:00
,23.65,16.13,6.99,10.67,15.05,2023-03-16 11:45:00
,24.85,14.31,6.36,10.93,13.42,2023-03-16 12:00:00
,25.21,11.76,6.75,10.21,11.75,2023-03-16 12:15:00
,25.21,12.88,6.55,9.42,12.47,2023-03-16 12:30:00
,25.21,14.39,5.95,8.31,13.28,2023-03-16 12:45:00
,57.42,11.59,6.34,10.64,11.43,2023-03-16 13:00:00
,67.08,10.5,6.65,8.37,10.79,2023-03-16 13:15:00
,67.08,12.36,7.02,9.05,12.32,2023-03-16 13:30:00
,67.08,12.61,6.13,11.65,12.08,2023-03-16 13:45:00
,75.85,11.56,6.26,10.68,11.38,2023-03-16 14:00:00
,78.24,9.93,6.93,8.16,10.98,2023-03-16 14:15:00
,78.24,12.98,6.75,10.99,12.63,2023-03-16 14:30:00
,78.24,15.1,6.46,9.02,14.05,2023-03-16 14:45:00
,49.05,9.51,6.21,6.64,9.86,2023-03-16 15:00:00
,40.29,11.63,6.39,6.37,11.48,2023-03-16 15:15:00
,40.29,13.26,6.2,7.33,12.58,2023-03-16 15:30:00
,40.29,10.02,5.98,9.32,10.13,2023-03-16 15:45:00
,40.34,11.44,6.76,5.96,11.52,2023-03-16 16:00:00
,40.36,12.7,6.63,8.23,12.38,2023-03-16 16:15:00
,40.36,14.4,6.4,8.41,13.51,2023-03-16 16:30:00
,40.36,12.37,6.82,6.32,12.23,2023-03-16 16:45:00
,44.53,12.19,6.9,4.73,12.14,2023-03-16 17:00:00
,46.2,13.86,6.73,6.05,13.27,2023-03-16 17:15:00
,46.2,12.31,6.67,9.78,12.12,2023-03-16 17:30:00
,46.2,11.86,6.0,11.31,11.47,2023-03-16 17:45:00
,48.64,10.29,6.9,11.49,10.73,2023-03-16 18:00:00
,49.31,11.57,7.05,7.27,11.75,2023-03-16 18:15:00
,49.31,10.73,6.57,6.22,10.93,2023-03-16 18:30:00
,49.31,14.37,6.24,10.92,13.41,2023-03-16 18:45:00
,54.58,9.44,6.79,13.6,10.08,2023-03-16 19:00:00
,56.16,13.48,6.43,10.36,12.85,2023-03-16 19:15:00
,56.16,12.22,6.69,11.12,12.06,2023-03-16 19:30:00
,56.16,15.14,6.47,9.77,14.07,2023-03-16 19:45:00
,76.22,13.71,6.38,5.72,12.99,2023-03-16 20:00:00
,82.9,11.76,6.28,6.64,11.53,2023-03-16 20:15:00
,82.9,14.52,6.92,9.48,13.84,2023-03-16 20:30:00
,82.9,12.62,7.06,7.71,12.53,2023-03-16 20:45:00
,94.73,12.25,6.13,5.62,11.81,2023-03-16 21:00:00
,97.96,12.43,6.63,8.24,11.4,2023-03-16 21:15:00
,97.96,13.15,6.25,9.08,12.52,2023-03-16 21:30:00
,97.96,11.59,6.85,9.88,12.19,2023-03-16 21:45:00
,89.26,11.72,6.62,7.27,11.66,2023-03-16 22:00:00
,86.89,17.75,6.52,4.89,16.0,2023-03-16 22:15:00
,86.89,15.5,6.77,5.16,14.48,2023-03-16 22:30:00
,86.89,12.36,6.9,10.74,12.26,2023-03-16 22:45:00
,78.11,11.91,6.19,8.21,11.59,2023-03-16 23:00:00
,75.48,9.33,6.54,6.89,9.89,2023-03-16 23:15:00
,75.48,11.48,6.43,10.73,11.4,2023-03-16 23:30:00
,75.48,12.15,6.78,9.09,12.05,2023-03-16 23:45:00
,78.69,12.67,6.63,7.54,12.35,2023-03-17 00:00:00
,79.98,9.61,6.83,6.54,10.23,2023-03-17 00:15:00
,79.98,10.93,6.04,7.76,10.82,2023-03-17 00:30:00
,79.98,10.58,6.11,6.5,10.59,2023-03-17 00:45:00
,81.54,12.21,6.26,7.04,12.34,2023-03-17 01:00:00
,81.96,12.85,6.64,5.91,12.5,2023-03-17 01:15:00
,81.96,11.81,6.72,6.44,11.78,2023-03-17 01:30:00
,81.96,13.74,6.44,10.55,13.04,2023-03-17 01:45:00
,75.58,12.28,6.42,9.74,11.98,2023-03-17 02:00:00
,73.66,9.18,7.39,9.09,10.18,2023-03-17 02:15:00
,73.66,10.51,6.58,10.55,10.76,2023-03-17 02:30:00
,73.66,13.54,6.7,10.12,13.03,2023-03-17 02:45:00
,80.05,12.19,6.25,9.75,11.83,2023-03-17 03:00:00
,82.6,10.67,6.65,10.69,10.91,2023-03-17 03:15:00
,82.6,12.29,6.75,8.71,12.14,2023-03-17 03:30:00
,82.6,13.09,6.93,7.32,12.81,2023-03-17 03:45:00
,85.38,16.07,6.21,7.55,14.63,2023-03-17 04:00:00
,86.14,11.71,6.75,4.85,11.72,2023-03-17 04:15:00
,86.14,12.03,6.99,9.74,12.07,2023-03-17 04:30:00
,86.14,12.2,6.42,12.37,11.31,2023-03-17 04:45:00
,72.32,12.92,7.12,11.27,12.77,2023-03-17 05:00:00
,68.18,14.0,6.11,8.4,13.07,2023-03-17 05:15:00
,68.18,13.03,6.34,5.42,12.48,2023-03-17 05:30:00
,68.18,10.61,6.1,7.51,10.61,2023-03-17 05:45:00
,70.55,12.5,6.6,9.67,12.22,2023-03-17 06:00:00
,71.26,14.33,6.65,10.63,13.57,2023-03-17 06:15:00
,71.26,12.57,6.59,9.44,12.27,2023-03-17 06:30:00
,71.26,13.0,6.95,10.89,12.75,2023-03-17 06:45:00
,74.68,12.58,6.01,10.47,12.0,2023-03-17 07:00:00
,76.05,12.4,6.08,9.31,11.9,2023-03-17 07:15:00
,76.05,11.82,6.35,8.12,11.61,2023-03-17 07:30:00
,76.05,12.6,6.48,5.99,12.24,2023-03-17 07:45:00
,85.28,12.75,6.52,8.81,13.0,2023-03-17 08:00:00
13.0,87.8,13.02,6.32,12.83,12.46,2023-03-17 08:15:00
13.0,87.8,11.56,6.52,9.1,11.49,2023-03-17 08:30:00
13.0,87.8,12.13,6.8,7.22,12.05,2023-03-17 08:45:00
12.0,86.78,13.51,6.34,6.4,12.82,2023-03-17 09:00:00
12.0,86.48,14.07,6.72,4.5,13.41,2023-03-17 09:15:00
12.0,86.48,12.92,6.42,6.19,12.44,2023-03-17 09:30:00
12.0,86.48,10.75,7.31,6.83,11.29,2023-03-17 09:45:00
13.0,68.1,10.91,6.52,9.24,11.02,2023-03-17 10:00:00
13.0,58.91,12.28,7.0,13.07,12.25,2023-03-17 10:15:00
13.0,58.91,13.67,6.31,11.95,12.93,2023-03-17 10:30:00
13.0,58.91,12.61,6.57,11.88,12.28,2023-03-17 10:45:00
14.0,37.35,11.14,6.45,8.33,11.16,2023-03-17 11:00:00
14.0,31.47,11.12,6.67,7.41,11.25,2023-03-17 11:15:00
14.0,31.47,12.92,5.83,11.28,12.16,2023-03-17 11:30:00
14.0,31.47,11.92,6.66,7.86,11.8,2023-03-17 11:45:00
14.0,16.69,11.95,6.49,6.95,11.76,2023-03-17 12:00:00
,,13.31,6.57,8.78,12.79,2023-03-17 12:15:00
,,11.74,7.19,8.54,11.95,2023-03-17 12:30:00
,,11.29,6.57,8.88,11.33,2023-03-17 12:45:00
15.0,17.58,9.78,6.43,9.29,10.16,2023-03-17 13:00:00
15.0,19.33,12.67,6.98,7.16,12.53,2023-03-17 13:15:00
15.0,19.33,13.83,6.94,6.31,13.34,2023-03-17 13:30:00
15.0,19.33,12.15,6.83,10.26,12.07,2023-03-17 13:45:00
10.0,19.33,10.57,6.8,8.14,10.92,2023-03-17 14:00:00
10.0,19.33,10.45,6.65,7.33,10.75,2023-03-17 14:15:00
10.0,19.33,12.04,6.57,9.92,11.87,2023-03-17 14:30:00
10.0,19.33,12.77,6.51,6.97,12.38,2023-03-17 14:45:00
11.0,33.07,13.59,7.17,9.99,13.28,2023-03-17 15:00:00
